time, pres-kr, pres-hr, pres-hl, pres-kl, cont-kr, cont-hr, cont-hl, cont-kl, elong-kr, elong-hr, elong-hl, elong-kl, force-kr, force-hr, force-hl, force-kl, tau-kr, tau-hr, tau-hl, tau-kl, theta-kr, theta-hr, theta-hl, theta-kl thetad-kr, thetad-hr, thetad-hl, thetad-kl thetadd-kr, thetadd-hr, thetadd-hl, thetadd-kl
0.008,4.9549,4.9549,4.9549,4.9549,0,0,0,0,0.001659,0.00082951,0.00082951,0.001659,0.082951,0.041475,0.041475,0.082951,-0.001659,0.00082951,0.00082951,-0.001659,1.5717,0.78493,0.78493,1.5717,0.22112,-0.11056,-0.11056,0.22112,27.6,-13.8,-13.8,27.6
0.0085,5.0231,5.0231,5.0231,5.0231,0,0,0,0,0.0018801,0.00094007,0.00094007,0.0018801,0.094007,0.047003,0.047003,0.094007,-0.0018801,0.00094007,0.00094007,-0.0018801,1.5719,0.78487,0.78487,1.5719,0.23492,-0.11746,-0.11746,0.23492,27.592,-13.796,-13.796,27.592
0.009,5.0912,5.0912,5.0912,5.0912,0,0,0,0,0.0021151,0.0010575,0.0010575,0.0021151,0.10575,0.052876,0.052876,0.10575,-0.0021151,0.0010575,0.0010575,-0.0021151,1.572,0.78481,0.78481,1.572,0.24872,-0.12436,-0.12436,0.24872,27.584,-13.792,-13.792,27.584
0.0095,5.1594,5.1594,5.1594,5.1594,0,0,0,0,0.0023638,0.0011819,0.0011819,0.0023638,0.11819,0.059094,0.059094,0.11819,-0.0023638,0.0011819,0.0011819,-0.0023638,1.5721,0.78474,0.78474,1.5721,0.26251,-0.13126,-0.13126,0.26251,27.576,-13.788,-13.788,27.576
0.01,5.2275,5.2275,5.2275,5.2275,0,0,0,0,0.0026263,0.0013131,0.0013131,0.0026263,0.13131,0.065657,0.065657,0.13131,-0.0026263,0.0013131,0.0013131,-0.0026263,1.5722,0.78467,0.78467,1.5722,0.2763,-0.13815,-0.13815,0.2763,27.567,-13.784,-13.784,27.567
0.0105,5.2956,5.2956,5.2956,5.2956,0,0,0,0,0.0029026,0.0014513,0.0014513,0.0029026,0.14513,0.072565,0.072565,0.14513,-0.0029026,0.0014513,0.0014513,-0.0029026,1.5724,0.7846,0.7846,1.5724,0.29008,-0.14504,-0.14504,0.29008,27.558,-13.779,-13.779,27.558
0.011,5.3638,5.3638,5.3638,5.3638,0,0,0,0,0.0031927,0.0015963,0.0015963,0.0031927,0.15963,0.079817,0.079817,0.15963,-0.0031927,0.0015963,0.0015963,-0.0031927,1.5725,0.78452,0.78452,1.5725,0.30386,-0.15193,-0.15193,0.30386,27.549,-13.774,-13.774,27.549
0.0115,5.4319,5.4319,5.4319,5.4319,0,0,0,0,0.0034965,0.0017483,0.0017483,0.0034965,0.17483,0.087413,0.087413,0.17483,-0.0034965,0.0017483,0.0017483,-0.0034965,1.5727,0.78444,0.78444,1.5727,0.31764,-0.15882,-0.15882,0.31764,27.539,-13.769,-13.769,27.539
0.012,5.5001,5.5001,5.5001,5.5001,0,0,0,0,0.0038142,0.0019071,0.0019071,0.0038142,0.19071,0.095354,0.095354,0.19071,-0.0038142,0.0019071,0.0019071,-0.0038142,1.5729,0.78436,0.78436,1.5729,0.33141,-0.1657,-0.1657,0.33141,27.528,-13.764,-13.764,27.528
0.0125,5.5682,5.5682,5.5682,5.5682,0,0,0,0,0.0041456,0.0020728,0.0020728,0.0041456,0.20728,0.10364,0.10364,0.20728,-0.0041456,0.0020728,0.0020728,-0.0041456,1.573,0.78428,0.78428,1.573,0.34517,-0.17259,-0.17259,0.34517,27.518,-13.759,-13.759,27.518
