Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
23.000	23.800	0.24980	4.0032	175.63	270.91	5.0803	0.78726	1.3357	445.57	0.53388	2.4288e-05	0.040235	supercritical
23.000	23.850	0.25023	3.9964	175.56	270.87	5.0795	0.78733	1.3360	445.86	0.53146	2.4307e-05	0.040270	supercritical
23.000	23.900	0.25065	3.9896	175.48	270.83	5.0787	0.78739	1.3362	446.15	0.52905	2.4325e-05	0.040304	supercritical
23.000	23.950	0.25108	3.9828	175.41	270.80	5.0779	0.78746	1.3365	446.44	0.52664	2.4344e-05	0.040339	supercritical
23.000	24.000	0.25150	3.9761	175.34	270.76	5.0771	0.78752	1.3368	446.73	0.52424	2.4363e-05	0.040374	supercritical
23.000	24.050	0.25193	3.9694	175.27	270.73	5.0763	0.78759	1.3371	447.02	0.52184	2.4381e-05	0.040408	supercritical
23.000	24.100	0.25235	3.9627	175.19	270.69	5.0755	0.78765	1.3373	447.31	0.51944	2.4400e-05	0.040443	supercritical
23.000	24.150	0.25278	3.9560	175.12	270.66	5.0747	0.78772	1.3376	447.60	0.51706	2.4419e-05	0.040478	supercritical
23.000	24.200	0.25320	3.9494	175.05	270.63	5.0739	0.78778	1.3379	447.89	0.51467	2.4437e-05	0.040512	supercritical
23.000	24.250	0.25362	3.9428	174.98	270.59	5.0732	0.78784	1.3381	448.18	0.51230	2.4456e-05	0.040547	supercritical
23.000	24.300	0.25405	3.9363	174.90	270.56	5.0724	0.78791	1.3384	448.48	0.50993	2.4475e-05	0.040582	supercritical
23.000	24.350	0.25447	3.9298	174.83	270.52	5.0716	0.78797	1.3386	448.77	0.50756	2.4494e-05	0.040617	supercritical
23.000	24.400	0.25489	3.9233	174.76	270.49	5.0708	0.78804	1.3389	449.06	0.50520	2.4512e-05	0.040651	supercritical
23.000	24.450	0.25531	3.9168	174.69	270.45	5.0701	0.78810	1.3392	449.35	0.50284	2.4531e-05	0.040686	supercritical
23.000	24.500	0.25573	3.9103	174.62	270.42	5.0693	0.78817	1.3394	449.64	0.50049	2.4550e-05	0.040721	supercritical
23.000	24.550	0.25615	3.9039	174.55	270.39	5.0685	0.78823	1.3397	449.93	0.49815	2.4569e-05	0.040755	supercritical
23.000	24.600	0.25657	3.8976	174.47	270.35	5.0677	0.78829	1.3399	450.22	0.49581	2.4588e-05	0.040790	supercritical
