Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
23.000	11.400	0.85206	1.1736	234.76	248.14	1.1380	0.93196	2.5665	481.97	0.63817	8.0604e-05	0.096927	liquid
23.000	11.450	0.85265	1.1728	234.63	248.06	1.1375	0.93174	2.5610	482.97	0.63400	8.0727e-05	0.097031	liquid
23.000	11.500	0.85324	1.1720	234.50	247.98	1.1370	0.93152	2.5555	483.97	0.62988	8.0849e-05	0.097134	liquid
23.000	11.550	0.85382	1.1712	234.37	247.90	1.1366	0.93130	2.5502	484.96	0.62579	8.0971e-05	0.097237	liquid
23.000	11.600	0.85440	1.1704	234.24	247.82	1.1361	0.93109	2.5448	485.95	0.62175	8.1093e-05	0.097339	liquid
23.000	11.650	0.85498	1.1696	234.11	247.74	1.1356	0.93088	2.5396	486.93	0.61775	8.1214e-05	0.097442	liquid
23.000	11.700	0.85555	1.1688	233.99	247.66	1.1352	0.93068	2.5344	487.91	0.61379	8.1335e-05	0.097543	liquid
23.000	11.750	0.85612	1.1681	233.86	247.59	1.1347	0.93048	2.5293	488.88	0.60986	8.1455e-05	0.097645	liquid
23.000	11.800	0.85669	1.1673	233.73	247.51	1.1343	0.93028	2.5243	489.85	0.60598	8.1574e-05	0.097746	liquid
23.000	11.850	0.85725	1.1665	233.61	247.43	1.1338	0.93008	2.5193	490.81	0.60213	8.1694e-05	0.097846	liquid
23.000	11.900	0.85781	1.1658	233.48	247.36	1.1334	0.92989	2.5143	491.77	0.59832	8.1812e-05	0.097946	liquid
23.000	11.950	0.85837	1.1650	233.36	247.28	1.1329	0.92970	2.5095	492.73	0.59455	8.1931e-05	0.098046	liquid
23.000	12.000	0.85893	1.1642	233.24	247.21	1.1325	0.92951	2.5046	493.67	0.59081	8.2049e-05	0.098146	liquid
23.000	12.050	0.85948	1.1635	233.11	247.13	1.1320	0.92933	2.4999	494.62	0.58711	8.2166e-05	0.098245	liquid
23.000	12.100	0.86003	1.1628	232.99	247.06	1.1316	0.92915	2.4952	495.56	0.58344	8.2283e-05	0.098343	liquid
23.000	12.150	0.86057	1.1620	232.87	246.99	1.1311	0.92897	2.4905	496.49	0.57981	8.2400e-05	0.098442	liquid
23.000	12.200	0.86111	1.1613	232.75	246.92	1.1307	0.92879	2.4859	497.42	0.57620	8.2516e-05	0.098540	liquid
23.000	12.250	0.86165	1.1606	232.63	246.84	1.1303	0.92862	2.4814	498.35	0.57264	8.2632e-05	0.098637	liquid
23.000	12.300	0.86219	1.1598	232.51	246.77	1.1298	0.92845	2.4769	499.27	0.56910	8.2747e-05	0.098735	liquid
23.000	12.350	0.86272	1.1591	232.39	246.70	1.1294	0.92828	2.4724	500.18	0.56560	8.2862e-05	0.098832	liquid
23.000	12.400	0.86325	1.1584	232.27	246.63	1.1290	0.92812	2.4680	501.10	0.56213	8.2977e-05	0.098928	liquid
23.000	12.450	0.86378	1.1577	232.15	246.57	1.1285	0.92796	2.4637	502.00	0.55869	8.3091e-05	0.099024	liquid
23.000	12.500	0.86431	1.1570	232.03	246.50	1.1281	0.92780	2.4594	502.91	0.55528	8.3205e-05	0.099120	liquid
23.000	12.550	0.86483	1.1563	231.92	246.43	1.1277	0.92764	2.4551	503.81	0.55190	8.3318e-05	0.099216	liquid
23.000	12.600	0.86535	1.1556	231.80	246.36	1.1273	0.92748	2.4509	504.70	0.54855	8.3432e-05	0.099311	liquid
23.000	12.650	0.86587	1.1549	231.68	246.29	1.1268	0.92733	2.4467	505.60	0.54523	8.3544e-05	0.099406	liquid
23.000	12.700	0.86638	1.1542	231.57	246.23	1.1264	0.92718	2.4426	506.48	0.54194	8.3657e-05	0.099501	liquid
23.000	12.750	0.86689	1.1535	231.45	246.16	1.1260	0.92703	2.4385	507.37	0.53867	8.3769e-05	0.099595	liquid
23.000	12.800	0.86740	1.1529	231.34	246.10	1.1256	0.92689	2.4345	508.25	0.53544	8.3880e-05	0.099689	liquid
23.000	12.850	0.86791	1.1522	231.23	246.03	1.1252	0.92674	2.4305	509.12	0.53223	8.3992e-05	0.099783	liquid
23.000	12.900	0.86842	1.1515	231.11	245.97	1.1248	0.92660	2.4266	509.99	0.52905	8.4103e-05	0.099876	liquid
23.000	12.950	0.86892	1.1509	231.00	245.90	1.1243	0.92646	2.4226	510.86	0.52589	8.4213e-05	0.099969	liquid
23.000	13.000	0.86942	1.1502	230.89	245.84	1.1239	0.92632	2.4188	511.73	0.52277	8.4324e-05	0.10006	liquid
23.000	13.050	0.86991	1.1495	230.78	245.78	1.1235	0.92619	2.4149	512.59	0.51966	8.4434e-05	0.10015	liquid
23.000	13.100	0.87041	1.1489	230.66	245.71	1.1231	0.92605	2.4111	513.45	0.51659	8.4543e-05	0.10025	liquid
23.000	13.150	0.87090	1.1482	230.55	245.65	1.1227	0.92592	2.4074	514.30	0.51354	8.4652e-05	0.10034	liquid
23.000	13.200	0.87139	1.1476	230.44	245.59	1.1223	0.92579	2.4037	515.15	0.51051	8.4761e-05	0.10043	liquid
23.000	13.250	0.87188	1.1469	230.33	245.53	1.1219	0.92566	2.4000	516.00	0.50751	8.4870e-05	0.10052	liquid
23.000	13.300	0.87237	1.1463	230.22	245.47	1.1215	0.92554	2.3963	516.84	0.50453	8.4978e-05	0.10061	liquid
23.000	13.350	0.87285	1.1457	230.11	245.41	1.1211	0.92541	2.3927	517.68	0.50158	8.5086e-05	0.10070	liquid
23.000	13.400	0.87333	1.1450	230.01	245.35	1.1207	0.92529	2.3891	518.51	0.49865	8.5194e-05	0.10079	liquid
23.000	13.450	0.87381	1.1444	229.90	245.29	1.1203	0.92517	2.3856	519.35	0.49574	8.5301e-05	0.10088	liquid
23.000	13.500	0.87429	1.1438	229.79	245.23	1.1199	0.92505	2.3821	520.18	0.49286	8.5409e-05	0.10097	liquid
23.000	13.550	0.87476	1.1432	229.68	245.17	1.1195	0.92493	2.3786	521.00	0.49000	8.5515e-05	0.10106	liquid
23.000	13.600	0.87523	1.1426	229.58	245.11	1.1192	0.92482	2.3752	521.83	0.48716	8.5622e-05	0.10115	liquid
23.000	13.650	0.87571	1.1419	229.47	245.06	1.1188	0.92470	2.3718	522.65	0.48435	8.5728e-05	0.10124	liquid
23.000	13.700	0.87617	1.1413	229.36	245.00	1.1184	0.92459	2.3684	523.46	0.48155	8.5834e-05	0.10133	liquid
23.000	13.750	0.87664	1.1407	229.26	244.94	1.1180	0.92448	2.3650	524.27	0.47878	8.5939e-05	0.10142	liquid
23.000	13.800	0.87710	1.1401	229.15	244.89	1.1176	0.92437	2.3617	525.08	0.47603	8.6045e-05	0.10151	liquid
23.000	13.850	0.87757	1.1395	229.05	244.83	1.1172	0.92426	2.3584	525.89	0.47330	8.6150e-05	0.10159	liquid
23.000	13.900	0.87803	1.1389	228.94	244.77	1.1169	0.92416	2.3552	526.70	0.47059	8.6255e-05	0.10168	liquid
23.000	13.950	0.87849	1.1383	228.84	244.72	1.1165	0.92405	2.3519	527.50	0.46790	8.6359e-05	0.10177	liquid
23.000	14.000	0.87894	1.1377	228.74	244.66	1.1161	0.92395	2.3487	528.29	0.46523	8.6463e-05	0.10186	liquid
23.000	14.050	0.87940	1.1371	228.63	244.61	1.1157	0.92385	2.3456	529.09	0.46258	8.6567e-05	0.10194	liquid
23.000	14.100	0.87985	1.1366	228.53	244.56	1.1154	0.92375	2.3424	529.88	0.45995	8.6671e-05	0.10203	liquid
23.000	14.150	0.88030	1.1360	228.43	244.50	1.1150	0.92365	2.3393	530.67	0.45734	8.6774e-05	0.10212	liquid
23.000	14.200	0.88075	1.1354	228.33	244.45	1.1146	0.92355	2.3362	531.45	0.45474	8.6877e-05	0.10220	liquid
23.000	14.250	0.88120	1.1348	228.22	244.40	1.1142	0.92345	2.3332	532.24	0.45217	8.6980e-05	0.10229	liquid
23.000	14.300	0.88164	1.1342	228.12	244.34	1.1139	0.92336	2.3301	533.02	0.44962	8.7083e-05	0.10237	liquid
23.000	14.350	0.88208	1.1337	228.02	244.29	1.1135	0.92327	2.3271	533.79	0.44708	8.7185e-05	0.10246	liquid
23.000	14.400	0.88252	1.1331	227.92	244.24	1.1131	0.92317	2.3241	534.57	0.44456	8.7287e-05	0.10254	liquid
23.000	14.450	0.88296	1.1325	227.82	244.19	1.1128	0.92308	2.3212	535.34	0.44206	8.7389e-05	0.10263	liquid
23.000	14.500	0.88340	1.1320	227.72	244.14	1.1124	0.92299	2.3182	536.11	0.43958	8.7490e-05	0.10271	liquid
23.000	14.550	0.88384	1.1314	227.62	244.09	1.1120	0.92290	2.3153	536.88	0.43712	8.7592e-05	0.10280	liquid
23.000	14.600	0.88427	1.1309	227.52	244.04	1.1117	0.92282	2.3125	537.64	0.43467	8.7693e-05	0.10288	liquid
23.000	14.650	0.88471	1.1303	227.43	243.99	1.1113	0.92273	2.3096	538.40	0.43224	8.7794e-05	0.10297	liquid
23.000	14.700	0.88514	1.1298	227.33	243.94	1.1110	0.92265	2.3068	539.16	0.42983	8.7894e-05	0.10305	liquid
23.000	14.750	0.88557	1.1292	227.23	243.89	1.1106	0.92256	2.3039	539.91	0.42743	8.7995e-05	0.10313	liquid
23.000	14.800	0.88599	1.1287	227.13	243.84	1.1102	0.92248	2.3012	540.67	0.42505	8.8095e-05	0.10322	liquid
23.000	14.850	0.88642	1.1281	227.04	243.79	1.1099	0.92240	2.2984	541.42	0.42269	8.8195e-05	0.10330	liquid
23.000	14.900	0.88684	1.1276	226.94	243.74	1.1095	0.92232	2.2956	542.17	0.42034	8.8294e-05	0.10338	liquid
23.000	14.950	0.88727	1.1271	226.84	243.69	1.1092	0.92224	2.2929	542.91	0.41801	8.8394e-05	0.10347	liquid
23.000	15.000	0.88769	1.1265	226.75	243.64	1.1088	0.92216	2.2902	543.65	0.41570	8.8493e-05	0.10355	liquid
23.000	15.050	0.88811	1.1260	226.65	243.60	1.1085	0.92208	2.2876	544.39	0.41340	8.8592e-05	0.10363	liquid
23.000	15.100	0.88852	1.1255	226.55	243.55	1.1081	0.92201	2.2849	545.13	0.41111	8.8691e-05	0.10371	liquid
23.000	15.150	0.88894	1.1249	226.46	243.50	1.1078	0.92193	2.2823	545.87	0.40885	8.8789e-05	0.10380	liquid
23.000	15.200	0.88935	1.1244	226.37	243.46	1.1074	0.92186	2.2796	546.60	0.40659	8.8887e-05	0.10388	liquid
23.000	15.250	0.88977	1.1239	226.27	243.41	1.1071	0.92179	2.2771	547.33	0.40435	8.8985e-05	0.10396	liquid
23.000	15.300	0.89018	1.1234	226.18	243.36	1.1067	0.92172	2.2745	548.06	0.40213	8.9083e-05	0.10404	liquid
23.000	15.350	0.89059	1.1229	226.08	243.32	1.1064	0.92164	2.2719	548.78	0.39992	8.9181e-05	0.10412	liquid
23.000	15.400	0.89100	1.1223	225.99	243.27	1.1061	0.92158	2.2694	549.51	0.39772	8.9278e-05	0.10420	liquid
23.000	15.450	0.89140	1.1218	225.90	243.23	1.1057	0.92151	2.2669	550.23	0.39554	8.9375e-05	0.10428	liquid
23.000	15.500	0.89181	1.1213	225.80	243.18	1.1054	0.92144	2.2644	550.95	0.39338	8.9472e-05	0.10436	liquid
23.000	15.550	0.89221	1.1208	225.71	243.14	1.1050	0.92137	2.2619	551.66	0.39122	8.9569e-05	0.10444	liquid
23.000	15.600	0.89262	1.1203	225.62	243.10	1.1047	0.92131	2.2594	552.38	0.38909	8.9666e-05	0.10452	liquid
23.000	15.650	0.89302	1.1198	225.53	243.05	1.1044	0.92124	2.2570	553.09	0.38696	8.9762e-05	0.10460	liquid
23.000	15.700	0.89342	1.1193	225.43	243.01	1.1040	0.92118	2.2546	553.80	0.38485	8.9858e-05	0.10468	liquid
23.000	15.750	0.89382	1.1188	225.34	242.96	1.1037	0.92111	2.2522	554.51	0.38275	8.9954e-05	0.10476	liquid
23.000	15.800	0.89421	1.1183	225.25	242.92	1.1034	0.92105	2.2498	555.21	0.38067	9.0050e-05	0.10484	liquid
23.000	15.850	0.89461	1.1178	225.16	242.88	1.1030	0.92099	2.2474	555.92	0.37859	9.0146e-05	0.10492	liquid
23.000	15.900	0.89500	1.1173	225.07	242.84	1.1027	0.92093	2.2451	556.62	0.37654	9.0241e-05	0.10500	liquid
23.000	15.950	0.89539	1.1168	224.98	242.79	1.1024	0.92087	2.2427	557.32	0.37449	9.0336e-05	0.10508	liquid
23.000	16.000	0.89579	1.1163	224.89	242.75	1.1020	0.92081	2.2404	558.01	0.37246	9.0431e-05	0.10516	liquid
23.000	16.050	0.89618	1.1159	224.80	242.71	1.1017	0.92075	2.2381	558.71	0.37043	9.0526e-05	0.10523	liquid
23.000	16.100	0.89656	1.1154	224.71	242.67	1.1014	0.92069	2.2358	559.40	0.36843	9.0621e-05	0.10531	liquid
23.000	16.150	0.89695	1.1149	224.62	242.63	1.1011	0.92064	2.2336	560.09	0.36643	9.0715e-05	0.10539	liquid
23.000	16.200	0.89734	1.1144	224.53	242.59	1.1007	0.92058	2.2313	560.78	0.36445	9.0809e-05	0.10547	liquid
23.000	16.250	0.89772	1.1139	224.45	242.55	1.1004	0.92052	2.2291	561.47	0.36247	9.0903e-05	0.10555	liquid
23.000	16.300	0.89811	1.1135	224.36	242.51	1.1001	0.92047	2.2269	562.15	0.36051	9.0997e-05	0.10562	liquid
23.000	16.350	0.89849	1.1130	224.27	242.47	1.0998	0.92042	2.2247	562.83	0.35856	9.1091e-05	0.10570	liquid
23.000	16.400	0.89887	1.1125	224.18	242.43	1.0994	0.92036	2.2225	563.51	0.35663	9.1184e-05	0.10578	liquid
23.000	16.450	0.89925	1.1120	224.09	242.39	1.0991	0.92031	2.2203	564.19	0.35470	9.1277e-05	0.10585	liquid
23.000	16.500	0.89963	1.1116	224.01	242.35	1.0988	0.92026	2.2182	564.87	0.35279	9.1371e-05	0.10593	liquid
23.000	16.550	0.90000	1.1111	223.92	242.31	1.0985	0.92021	2.2160	565.54	0.35089	9.1464e-05	0.10601	liquid
23.000	16.600	0.90038	1.1106	223.83	242.27	1.0982	0.92016	2.2139	566.22	0.34900	9.1556e-05	0.10608	liquid
23.000	16.650	0.90076	1.1102	223.75	242.23	1.0978	0.92011	2.2118	566.89	0.34712	9.1649e-05	0.10616	liquid
23.000	16.700	0.90113	1.1097	223.66	242.19	1.0975	0.92006	2.2097	567.56	0.34525	9.1741e-05	0.10624	liquid
23.000	16.750	0.90150	1.1093	223.58	242.16	1.0972	0.92001	2.2076	568.22	0.34339	9.1834e-05	0.10631	liquid
23.000	16.800	0.90187	1.1088	223.49	242.12	1.0969	0.91997	2.2055	568.89	0.34154	9.1926e-05	0.10639	liquid
23.000	16.850	0.90224	1.1084	223.40	242.08	1.0966	0.91992	2.2035	569.55	0.33970	9.2017e-05	0.10646	liquid
23.000	16.900	0.90261	1.1079	223.32	242.04	1.0963	0.91987	2.2014	570.21	0.33788	9.2109e-05	0.10654	liquid
23.000	16.950	0.90298	1.1074	223.23	242.01	1.0960	0.91983	2.1994	570.87	0.33606	9.2201e-05	0.10661	liquid
23.000	17.000	0.90334	1.1070	223.15	241.97	1.0956	0.91978	2.1974	571.53	0.33426	9.2292e-05	0.10669	liquid
23.000	17.050	0.90371	1.1066	223.07	241.93	1.0953	0.91974	2.1954	572.19	0.33246	9.2383e-05	0.10676	liquid
23.000	17.100	0.90407	1.1061	222.98	241.90	1.0950	0.91970	2.1934	572.84	0.33068	9.2474e-05	0.10684	liquid
23.000	17.150	0.90444	1.1057	222.90	241.86	1.0947	0.91965	2.1914	573.49	0.32890	9.2565e-05	0.10691	liquid
23.000	17.200	0.90480	1.1052	222.81	241.82	1.0944	0.91961	2.1894	574.14	0.32714	9.2656e-05	0.10699	liquid
23.000	17.250	0.90516	1.1048	222.73	241.79	1.0941	0.91957	2.1875	574.79	0.32538	9.2747e-05	0.10706	liquid
23.000	17.300	0.90552	1.1043	222.65	241.75	1.0938	0.91953	2.1855	575.44	0.32364	9.2837e-05	0.10714	liquid
23.000	17.350	0.90588	1.1039	222.57	241.72	1.0935	0.91949	2.1836	576.08	0.32190	9.2927e-05	0.10721	liquid
23.000	17.400	0.90623	1.1035	222.48	241.68	1.0932	0.91945	2.1817	576.73	0.32018	9.3017e-05	0.10728	liquid
23.000	17.450	0.90659	1.1030	222.40	241.65	1.0929	0.91941	2.1798	577.37	0.31846	9.3107e-05	0.10736	liquid
23.000	17.500	0.90694	1.1026	222.32	241.61	1.0926	0.91937	2.1779	578.01	0.31675	9.3197e-05	0.10743	liquid
23.000	17.550	0.90730	1.1022	222.24	241.58	1.0923	0.91933	2.1760	578.65	0.31505	9.3287e-05	0.10750	liquid
23.000	17.600	0.90765	1.1017	222.15	241.54	1.0920	0.91929	2.1742	579.29	0.31337	9.3376e-05	0.10758	liquid
23.000	17.650	0.90800	1.1013	222.07	241.51	1.0917	0.91926	2.1723	579.92	0.31169	9.3466e-05	0.10765	liquid
23.000	17.700	0.90835	1.1009	221.99	241.48	1.0914	0.91922	2.1705	580.56	0.31002	9.3555e-05	0.10772	liquid
23.000	17.750	0.90870	1.1005	221.91	241.44	1.0911	0.91919	2.1687	581.19	0.30836	9.3644e-05	0.10779	liquid
23.000	17.800	0.90905	1.1000	221.83	241.41	1.0908	0.91915	2.1668	581.82	0.30670	9.3733e-05	0.10787	liquid
23.000	17.850	0.90940	1.0996	221.75	241.38	1.0905	0.91911	2.1650	582.45	0.30506	9.3821e-05	0.10794	liquid
23.000	17.900	0.90975	1.0992	221.67	241.34	1.0902	0.91908	2.1632	583.07	0.30343	9.3910e-05	0.10801	liquid
23.000	17.950	0.91009	1.0988	221.59	241.31	1.0899	0.91905	2.1614	583.70	0.30180	9.3998e-05	0.10808	liquid
23.000	18.000	0.91044	1.0984	221.51	241.28	1.0896	0.91901	2.1597	584.32	0.30018	9.4087e-05	0.10816	liquid
23.000	18.050	0.91078	1.0980	221.43	241.25	1.0893	0.91898	2.1579	584.95	0.29857	9.4175e-05	0.10823	liquid
23.000	18.100	0.91112	1.0975	221.35	241.21	1.0890	0.91895	2.1562	585.57	0.29697	9.4263e-05	0.10830	liquid
23.000	18.150	0.91146	1.0971	221.27	241.18	1.0887	0.91892	2.1544	586.19	0.29538	9.4351e-05	0.10837	liquid
23.000	18.200	0.91181	1.0967	221.19	241.15	1.0884	0.91888	2.1527	586.81	0.29380	9.4438e-05	0.10844	liquid
23.000	18.250	0.91215	1.0963	221.11	241.12	1.0881	0.91885	2.1510	587.42	0.29222	9.4526e-05	0.10851	liquid
23.000	18.300	0.91248	1.0959	221.03	241.09	1.0878	0.91882	2.1492	588.04	0.29066	9.4613e-05	0.10858	liquid
23.000	18.350	0.91282	1.0955	220.95	241.06	1.0875	0.91879	2.1475	588.65	0.28910	9.4701e-05	0.10866	liquid
23.000	18.400	0.91316	1.0951	220.88	241.03	1.0872	0.91876	2.1459	589.26	0.28755	9.4788e-05	0.10873	liquid
23.000	18.450	0.91349	1.0947	220.80	241.00	1.0870	0.91873	2.1442	589.87	0.28600	9.4875e-05	0.10880	liquid
23.000	18.500	0.91383	1.0943	220.72	240.96	1.0867	0.91871	2.1425	590.48	0.28447	9.4962e-05	0.10887	liquid
23.000	18.550	0.91416	1.0939	220.64	240.93	1.0864	0.91868	2.1408	591.09	0.28294	9.5049e-05	0.10894	liquid
23.000	18.600	0.91450	1.0935	220.56	240.90	1.0861	0.91865	2.1392	591.70	0.28142	9.5135e-05	0.10901	liquid
23.000	18.650	0.91483	1.0931	220.49	240.87	1.0858	0.91862	2.1375	592.30	0.27991	9.5222e-05	0.10908	liquid
23.000	18.700	0.91516	1.0927	220.41	240.84	1.0855	0.91860	2.1359	592.90	0.27840	9.5308e-05	0.10915	liquid
23.000	18.750	0.91549	1.0923	220.33	240.81	1.0852	0.91857	2.1343	593.51	0.27691	9.5394e-05	0.10922	liquid
23.000	18.800	0.91582	1.0919	220.26	240.79	1.0850	0.91854	2.1327	594.11	0.27542	9.5480e-05	0.10929	liquid
23.000	18.850	0.91615	1.0915	220.18	240.76	1.0847	0.91852	2.1311	594.71	0.27394	9.5566e-05	0.10936	liquid
23.000	18.900	0.91647	1.0911	220.10	240.73	1.0844	0.91849	2.1295	595.30	0.27246	9.5652e-05	0.10943	liquid
23.000	18.950	0.91680	1.0907	220.03	240.70	1.0841	0.91847	2.1279	595.90	0.27099	9.5738e-05	0.10950	liquid
23.000	19.000	0.91713	1.0904	219.95	240.67	1.0838	0.91844	2.1263	596.49	0.26953	9.5823e-05	0.10957	liquid
23.000	19.050	0.91745	1.0900	219.88	240.64	1.0835	0.91842	2.1247	597.09	0.26808	9.5909e-05	0.10964	liquid
23.000	19.100	0.91778	1.0896	219.80	240.61	1.0833	0.91839	2.1232	597.68	0.26664	9.5994e-05	0.10970	liquid
