# time (s), duty, act pres, tank pres, d4, d5, pres err
0.01, 0.00, 0.00, 53.87, 0.00, 0.00, 0.00
0.03, 0.00, 0.00, 53.87, 0.00, 0.00, 0.00
0.05, 0.00, 0.00, 53.86, 0.00, 0.00, 0.00
0.07, 0.00, 0.00, 53.86, 0.00, 0.00, 0.00
0.09, 0.00, 0.00, 53.86, 0.00, 0.00, 0.00
0.11, 0.00, 0.00, 53.86, 0.00, 0.00, 0.00
0.13, 0.00, 0.00, 53.86, 0.00, 0.00, 0.00
0.15, 0.00, 0.00, 53.87, 0.00, 0.00, 0.00
0.17, 0.00, 0.00, 53.88, 0.00, 0.00, 0.00
0.19, 0.00, 0.00, 53.88, 0.00, 0.00, 0.00
0.21, 0.00, 0.00, 53.89, 0.00, 0.00, 0.00
0.23, 0.00, 0.00, 53.88, 0.00, 0.00, 0.00
0.25, 0.00, 0.00, 53.88, 0.00, 0.00, 0.00
0.26, 0.00, 0.01, 53.88, 0.00, 0.00, 0.01
0.28, 0.00, 0.02, 53.88, 0.00, 0.00, 0.01
0.30, 0.00, 0.03, 53.89, 0.00, 0.00, 0.02
0.32, 0.00, 0.03, 53.89, 0.00, 0.00, 0.03
0.34, 0.00, 0.02, 53.90, 0.00, 0.00, 0.03
0.36, 0.00, 0.01, 53.90, 0.00, 0.00, 0.02
0.38, 0.00, 0.00, 53.91, 0.00, 0.00, 0.01
0.40, 0.00, 0.00, 53.91, 0.00, 0.00, 0.00
0.42, 0.00, 0.00, 53.91, 0.00, 0.00, 0.00
0.44, 0.00, 0.00, 53.91, 0.00, 0.00, 0.00
0.46, 0.00, 0.00, 53.91, 0.00, 0.00, 0.00
0.48, 0.00, 0.00, 53.91, 0.00, 0.00, 0.00
0.50, 0.00, 0.00, 53.91, 0.00, 0.00, 0.00
0.52, 0.00, 0.00, 53.90, 0.00, 0.00, 0.00
0.54, 0.00, 0.00, 53.90, 0.00, 0.00, 0.00
0.56, 0.00, 0.00, 53.90, 0.00, 0.00, 0.00
0.58, 13.95, 0.00, 53.90, 0.00, 0.00, -1.58
0.60, 13.95, 0.00, 53.91, 0.00, 0.00, -1.58
0.62, 13.95, 0.01, 53.91, 0.00, 0.00, -1.58
0.64, 13.93, 0.07, 53.92, 0.00, 0.00, -1.55
0.66, 13.88, 0.20, 53.96, 0.00, 0.00, -1.45
0.68, 13.88, 0.37, 54.07, 0.00, 0.00, -1.45
0.70, 13.77, 0.47, 54.20, 0.00, 0.00, -1.21
0.72, 13.71, 0.45, 54.27, 0.00, 0.00, -1.11
0.74, 13.73, 0.39, 54.23, 0.00, 0.00, -1.13
0.76, 13.76, 0.43, 54.14, 0.00, 0.00, -1.19
0.78, 13.74, 0.62, 54.07, 0.00, 0.00, -1.15
0.80, 13.66, 0.85, 54.05, -0.08, 0.00, -0.84
0.82, 13.63, 0.97, 54.02, -0.15, 0.00, -0.65
0.84, 13.66, 0.99, 54.00, -0.21, 0.00, -0.59
0.86, 13.72, 1.02, 54.04, -0.27, 0.00, -0.58
0.88, 13.72, 1.11, 54.14, -0.27, 0.00, -0.58
0.90, 13.71, 1.19, 54.22, -0.31, 0.00, -0.47
0.92, 13.71, 1.15, 54.18, -0.35, 0.00, -0.39
0.94, 13.77, 1.01, 54.04, -0.40, 0.00, -0.43
0.96, 13.90, 0.91, 53.88, -0.45, 0.00, -0.57
0.98, 14.01, 0.92, 53.76, -0.52, 0.00, -0.67
1.00, 14.05, 0.99, 53.69, -0.58, 0.00, -0.63
1.02, 14.08, 1.04, 53.62, -0.64, 0.00, -0.56
1.04, 14.11, 1.07, 53.60, -0.69, 0.00, -0.52
1.06, 14.14, 1.14, 53.66, -0.74, 0.00, -0.48
1.08, 14.14, 1.23, 53.80, -0.74, 0.00, -0.48
1.10, 18.22, 1.28, 53.89, -0.93, 0.00, -1.93
1.12, 18.38, 1.23, 53.83, -1.12, 0.00, -1.88
1.14, 18.60, 1.14, 53.63, -1.31, 0.00, -1.94
1.16, 18.84, 1.14, 53.44, -1.51, 0.00, -2.02
1.18, 19.04, 1.27, 53.39, -1.72, 0.00, -2.02
1.20, 19.12, 1.43, 53.45, -1.90, 0.00, -1.80
1.22, 19.22, 1.53, 53.49, -2.06, 0.00, -1.67
1.24, 19.34, 1.60, 53.37, -2.22, 0.00, -1.60
1.26, 19.44, 1.75, 53.16, -2.37, 0.00, -1.50
1.28, 19.44, 1.93, 53.00, -2.37, 0.00, -1.50
1.30, 19.43, 1.98, 53.00, -2.50, 0.00, -1.23
1.32, 19.53, 1.83, 53.10, -2.62, 0.00, -1.19
1.34, 19.73, 1.68, 53.20, -2.75, 0.00, -1.33
1.36, 19.96, 1.70, 53.25, -2.90, 0.00, -1.48
1.38, 20.09, 1.87, 53.25, -3.04, 0.00, -1.46
1.40, 20.09, 1.99, 53.21, -3.16, 0.00, -1.21
1.42, 20.18, 1.98, 53.09, -3.28, 0.00, -1.16
1.44, 20.32, 1.94, 52.93, -3.40, 0.00, -1.21
1.46, 20.44, 2.01, 52.77, -3.52, 0.00, -1.20
1.48, 20.44, 2.15, 52.69, -3.52, 0.00, -1.20
1.50, 20.45, 2.19, 52.72, -3.62, 0.00, -1.01
1.52, 20.52, 2.07, 52.80, -3.72, 0.00, -0.97
1.54, 20.69, 1.96, 52.88, -3.83, 0.00, -1.09
1.56, 20.87, 2.02, 52.91, -3.95, 0.00, -1.20
1.58, 20.95, 2.24, 52.86, -4.06, 0.00, -1.14
1.60, 20.87, 2.42, 52.70, -4.14, 0.00, -0.81
1.62, 25.00, 2.44, 52.44, -4.37, 0.00, -2.29
1.64, 25.24, 2.40, 52.15, -4.60, 0.00, -2.32
1.66, 25.48, 2.47, 51.96, -4.83, 0.00, -2.32
1.68, 25.48, 2.60, 51.92, -4.83, 0.00, -2.32
1.70, 25.60, 2.64, 51.94, -5.05, 0.00, -2.14
1.72, 25.79, 2.54, 51.89, -5.26, 0.00, -2.10
1.74, 26.06, 2.48, 51.70, -5.48, 0.00, -2.20
1.76, 26.32, 2.61, 51.45, -5.71, 0.00, -2.26
1.78, 26.46, 2.90, 51.30, -5.92, 0.00, -2.13
1.80, 26.41, 3.16, 51.24, -6.09, 0.00, -1.69
1.82, 26.47, 3.28, 51.18, -6.24, 0.00, -1.50
1.84, 26.58, 3.32, 51.08, -6.38, 0.00, -1.43
1.86, 26.70, 3.37, 51.02, -6.52, 0.00, -1.39
1.88, 26.70, 3.41, 51.11, -6.52, 0.00, -1.39
1.90, 26.80, 3.35, 51.26, -6.65, 0.00, -1.33
1.92, 26.96, 3.27, 51.28, -6.79, 0.00, -1.39
1.94, 27.15, 3.33, 51.08, -6.94, 0.00, -1.47
