# time (s), duty, act pres, tank pres, d4, d5, pres err
0.02, 0.00, 0.00, 66.80, 0.00, 35.21, 0.00
0.04, 0.00, 0.00, 66.80, 0.00, 35.15, 0.00
0.06, 0.00, 0.00, 66.80, 0.00, 35.10, 0.00
0.08, 0.00, 0.00, 66.80, 0.00, 35.09, 0.00
0.10, 0.00, 0.00, 66.80, 0.00, 35.13, 0.00
0.12, 0.00, 0.00, 66.80, 0.00, 35.20, 0.00
0.14, 0.00, 0.00, 66.80, 0.00, 35.26, 0.00
0.16, 0.00, 0.00, 66.80, 0.00, 35.30, 0.00
0.18, 0.00, 0.00, 66.80, 0.00, 35.32, 0.00
0.20, 0.00, 0.01, 66.80, 0.00, 35.34, 0.01
0.22, 0.00, 0.03, 66.80, 0.00, 35.35, 0.02
0.24, 0.00, 0.05, 66.80, 0.00, 35.37, 0.04
0.26, 0.00, 0.06, 66.80, 0.00, 35.37, 0.06
0.28, 0.00, 0.05, 66.80, 0.00, 35.38, 0.06
0.30, 0.00, 0.03, 66.80, 0.00, 35.40, 0.05
0.32, 0.00, 0.01, 66.80, 0.00, 35.40, 0.03
0.34, 0.00, 0.00, 66.80, 0.00, 35.41, 0.01
0.36, 0.00, 0.00, 66.80, 0.00, 35.42, 0.00
0.38, 0.00, 0.00, 66.80, 0.00, 35.47, 0.00
0.40, 0.00, 0.00, 66.80, 0.00, 35.53, 0.00
0.42, 0.00, 0.00, 66.80, 0.00, 35.60, 0.00
0.44, 0.00, 0.00, 66.80, 0.00, 35.66, 0.00
0.46, 0.00, 0.00, 66.80, 0.00, 35.69, 0.00
0.48, 0.00, 0.00, 66.80, 0.00, 35.70, 0.00
0.50, 0.00, 0.00, 66.80, 0.00, 35.72, 0.00
0.52, 0.00, 0.00, 66.80, 0.00, 35.73, 0.00
0.54, 0.00, 0.00, 66.80, 0.00, 35.75, 0.00
0.56, 0.00, 0.01, 66.80, 0.00, 35.78, 0.00
