# time (s), duty, act pres, tank pres, d4, d5, pres err
0.02, 0.00, 0.00, 42.54, 0.00, 0.00, 0.00
0.04, 0.00, 0.00, 42.54, 0.00, 0.00, 0.00
0.06, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.08, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.10, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.12, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.14, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.16, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.18, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.20, 0.00, 0.00, 42.56, 0.00, 0.00, 0.00
0.22, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.24, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.26, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.28, 0.00, 0.00, 42.55, 0.00, 0.00, 0.00
0.30, 0.00, 0.00, 42.56, 0.00, 0.00, 0.00
0.32, 0.00, 0.00, 42.56, 0.00, 0.00, 0.00
0.34, 0.00, 0.00, 42.56, 0.00, 0.00, 0.00
0.36, 0.00, 0.00, 42.57, 0.00, 0.00, 0.00
0.38, 0.00, 0.00, 42.57, 0.00, 0.00, 0.00
0.40, 0.00, 0.00, 42.57, 0.00, 0.00, 0.00
0.42, 0.00, 0.00, 42.57, 0.00, 0.00, 0.00
0.44, 0.00, 0.00, 42.58, 0.00, 0.00, 0.00
0.46, 0.00, 0.00, 42.58, 0.00, 0.00, 0.00
0.48, 0.00, 0.00, 42.59, 0.00, 0.00, 0.00
0.50, 0.00, 0.00, 42.58, 0.00, 0.00, 0.00
0.52, 0.00, 0.00, 42.58, 0.00, 0.00, 0.00
0.54, 0.00, 0.00, 42.58, 0.00, 0.00, 0.00
0.56, 0.00, 0.00, 42.57, 0.00, 0.00, 0.00
0.58, 11.97, 0.00, 42.57, 0.00, 0.00, -0.79
0.60, 11.97, 0.00, 42.57, 0.00, 0.00, -0.79
0.62, 11.97, 0.03, 42.54, 0.00, 0.00, -0.79
0.64, 11.96, 0.10, 42.44, 0.00, 0.00, -0.76
0.66, 11.93, 0.22, 42.26, 0.00, 0.00, -0.69
0.68, 11.84, 0.32, 42.10, 0.00, 0.00, -0.51
0.70, 11.80, 0.34, 42.09, 0.00, 0.00, -0.45
0.72, 11.81, 0.31, 42.27, 0.00, 0.00, -0.47
0.74, 11.82, 0.33, 42.52, 0.00, 0.00, -0.48
0.76, 11.82, 0.44, 42.71, 0.00, 0.00, -0.48
0.78, 11.75, 0.55, 42.79, 0.00, 0.00, -0.35
0.80, 11.73, 0.55, 42.80, -0.02, 0.00, -0.24
0.82, 11.75, 0.48, 42.74, -0.05, 0.00, -0.24
0.84, 11.73, 0.47, 42.59, 0.00, 0.00, -0.31
0.86, 11.74, 0.56, 42.35, 0.00, 0.00, -0.32
0.88, 11.68, 0.68, 42.09, -0.02, 0.00, -0.17
0.90, 11.65, 0.70, 41.95, -0.03, 0.00, -0.09
0.92, 11.68, 0.64, 41.97, -0.04, 0.00, -0.12
0.94, 11.72, 0.63, 42.09, -0.06, 0.00, -0.17
0.96, 11.72, 0.74, 42.24, -0.06, 0.00, -0.17
0.98, 11.67, 0.85, 42.37, -0.06, 0.00, -0.05
1.00, 11.60, 0.85, 42.46, -0.05, 0.00, 0.06
1.02, 11.60, 0.76, 42.47, -0.05, 0.00, 0.06
1.04, 11.64, 0.71, 42.34, -0.05, 0.00, -0.03
1.06, 11.68, 0.78, 42.13, -0.06, 0.00, -0.07
1.08, 13.66, 0.88, 41.93, -0.13, 0.00, -0.74
1.10, 13.70, 0.90, 41.84, -0.20, 0.00, -0.68
1.12, 13.78, 0.84, 41.87, -0.27, 0.00, -0.71
1.14, 13.89, 0.80, 41.97, -0.35, 0.00, -0.77
1.16, 13.89, 0.84, 42.06, -0.35, 0.00, -0.77
1.18, 13.95, 0.90, 42.12, -0.42, 0.00, -0.74
1.20, 13.99, 0.89, 42.13, -0.49, 0.00, -0.68
1.22, 14.06, 0.84, 42.11, -0.56, 0.00, -0.69
1.24, 14.16, 0.86, 42.10, -0.63, 0.00, -0.74
1.26, 14.22, 0.97, 42.11, -0.70, 0.00, -0.72
1.28, 14.19, 1.08, 42.10, -0.76, 0.00, -0.55
1.30, 14.20, 1.13, 42.05, -0.81, 0.00, -0.46
1.32, 14.23, 1.14, 41.99, -0.85, 0.00, -0.45
1.34, 14.26, 1.20, 41.98, -0.89, 0.00, -0.42
1.36, 14.26, 1.31, 42.00, -0.89, 0.00, -0.42
1.38, 14.21, 1.39, 42.00, -0.92, 0.00, -0.27
1.40, 14.20, 1.34, 41.97, -0.94, 0.00, -0.20
1.42, 14.24, 1.23, 41.89, -0.96, 0.00, -0.24
1.44, 14.33, 1.20, 41.84, -1.00, 0.00, -0.35
1.46, 14.38, 1.28, 41.83, -1.03, 0.00, -0.38
1.48, 14.33, 1.41, 41.85, -1.06, 0.00, -0.23
1.50, 14.29, 1.51, 41.85, -1.07, 0.00, -0.11
1.52, 14.25, 1.58, 41.82, -1.07, 0.00, -0.04
1.54, 14.20, 1.71, 41.79, -1.07, 0.00, 0.06
1.56, 14.20, 1.85, 41.80, -1.07, 0.00, 0.06
1.58, 14.06, 1.90, 41.79, -1.04, 0.00, 0.28
1.60, 14.01, 1.81, 41.74, -1.01, 0.00, 0.32
1.62, 14.03, 1.69, 41.63, -0.98, 0.00, 0.23
1.64, 16.14, 1.67, 41.49, -1.05, 0.00, -0.69
1.66, 16.21, 1.78, 41.36, -1.12, 0.00, -0.70
1.68, 16.18, 1.90, 41.26, -1.18, 0.00, -0.52
1.70, 16.17, 1.97, 41.19, -1.22, 0.00, -0.42
1.72, 16.18, 2.02, 41.08, -1.25, 0.00, -0.38
1.74, 16.17, 2.14, 40.94, -1.28, 0.00, -0.30
1.76, 16.17, 2.29, 40.89, -1.28, 0.00, -0.30
1.78, 16.07, 2.32, 40.97, -1.29, 0.00, -0.08
1.80, 16.06, 2.20, 41.11, -1.30, 0.00, -0.05
1.82, 16.14, 2.04, 41.19, -1.31, 0.00, -0.17
1.84, 16.25, 2.01, 41.16, -1.35, 0.00, -0.33
1.86, 16.30, 2.13, 41.16, -1.38, 0.00, -0.36
1.87, 16.22, 2.27, 41.22, -1.40, 0.00, -0.16
1.89, 16.17, 2.35, 41.27, -1.41, 0.00, -0.05
1.91, 16.15, 2.39, 41.18, -1.41, 0.00, -0.01
1.93, 16.11, 2.51, 40.99, -1.40, 0.00, 0.06
1.95, 16.11, 2.68, 40.84, -1.40, 0.00, 0.06
1.97, 15.95, 2.77, 40.83, -1.37, 0.00, 0.31
1.99, 15.87, 2.70, 40.91, -1.33, 0.00, 0.40
2.01, 15.87, 2.63, 40.93, -1.29, 0.00, 0.33
2.03, 15.88, 2.71, 40.82, -1.27, 0.00, 0.26
2.05, 15.81, 2.90, 40.66, -1.24, 0.00, 0.34
2.07, 15.61, 3.02, 40.60, -1.17, 0.00, 0.61
2.09, 15.53, 2.98, 40.67, -1.11, 0.00, 0.65
2.11, 15.52, 2.88, 40.77, -1.05, 0.00, 0.55
2.13, 17.55, 2.91, 40.84, -1.08, 0.00, -0.28
2.15, 17.55, 3.04, 40.90, -1.08, 0.00, -0.28
2.17, 17.47, 3.11, 40.99, -1.09, 0.00, -0.12
2.19, 17.44, 3.02, 41.05, -1.10, 0.00, -0.05
2.21, 17.50, 2.89, 41.01, -1.11, 0.00, -0.14
2.23, 17.59, 2.92, 40.88, -1.14, 0.00, -0.27
2.25, 17.61, 3.10, 40.78, -1.16, 0.00, -0.24
2.27, 17.47, 3.25, 40.82, -1.16, 0.00, 0.03
2.29, 17.41, 3.26, 40.95, -1.15, 0.00, 0.11
2.31, 17.43, 3.21, 40.99, -1.14, 0.00, 0.07
2.33, 17.43, 3.27, 40.83, -1.14, 0.00, 0.06
2.35, 17.43, 3.45, 40.55, -1.14, 0.00, 0.06
2.37, 17.28, 3.58, 40.33, -1.11, 0.00, 0.29
2.39, 17.18, 3.54, 40.27, -1.07, 0.00, 0.42
2.41, 17.16, 3.44, 40.31, -1.03, 0.00, 0.38
2.43, 17.18, 3.46, 40.33, -1.00, 0.00, 0.28
2.45, 17.14, 3.63, 40.30, -0.97, 0.00, 0.30
2.47, 16.96, 3.77, 40.33, -0.92, 0.00, 0.55
2.49, 16.86, 3.77, 40.47, -0.85, 0.00, 0.62
2.51, 16.82, 3.72, 40.65, -0.79, 0.00, 0.58
2.53, 16.77, 3.77, 40.70, -0.74, 0.00, 0.57
2.55, 16.77, 3.89, 40.57, -0.74, 0.00, 0.57
2.57, 16.62, 3.92, 40.35, -0.66, 0.00, 0.73
2.59, 16.53, 3.79, 40.16, -0.59, 0.00, 0.76
2.61, 16.53, 3.62, 40.04, -0.53, 0.00, 0.63
2.63, 16.57, 3.62, 39.93, -0.48, 0.00, 0.47
2.65, 16.52, 3.77, 39.85, -0.43, 0.00, 0.46
2.67, 18.39, 3.92, 39.87, -0.44, 0.00, -0.09
2.69, 18.35, 3.93, 39.99, -0.44, 0.00, -0.01
2.71, 18.37, 3.87, 40.11, -0.45, 0.00, -0.05
2.73, 18.39, 3.91, 40.08, -0.46, 0.00, -0.08
2.75, 18.39, 4.05, 39.91, -0.46, 0.00, -0.08
2.77, 18.29, 4.13, 39.74, -0.45, 0.00, 0.10
2.79, 18.23, 4.06, 39.69, -0.43, 0.00, 0.18
2.81, 18.26, 3.96, 39.74, -0.42, 0.00, 0.11
2.83, 18.31, 4.02, 39.81, -0.41, 0.00, 0.01
2.85, 18.28, 4.23, 39.87, -0.41, 0.00, 0.07
2.87, 18.08, 4.40, 39.95, -0.37, 0.00, 0.38
2.89, 17.99, 4.39, 40.13, -0.32, 0.00, 0.47
2.91, 17.98, 4.32, 40.30, -0.28, 0.00, 0.40
2.93, 17.97, 4.33, 40.31, -0.25, 0.00, 0.36
2.95, 17.97, 4.43, 40.11, -0.25, 0.00, 0.36
2.97, 17.86, 4.45, 39.81, -0.20, 0.00, 0.48
2.99, 17.80, 4.32, 39.59, -0.15, 0.00, 0.50
3.01, 17.82, 4.19, 39.50, -0.11, 0.00, 0.37
3.03, 17.87, 4.22, 39.47, -0.09, 0.00, 0.24
3.05, 17.83, 4.41, 39.47, -0.06, 0.00, 0.27
3.07, 17.63, 4.57, 39.54, -0.01, 0.00, 0.56
3.09, 17.52, 4.57, 39.72, 0.06, 0.00, 0.64
3.11, 17.49, 4.50, 39.91, 0.12, 0.00, 0.58
3.13, 17.45, 4.54, 39.95, 0.17, 0.00, 0.55
3.15, 17.45, 4.68, 39.75, 0.17, 0.00, 0.55
3.17, 17.29, 4.76, 39.42, 0.24, 0.00, 0.73
3.19, 17.17, 4.66, 39.14, 0.33, 0.00, 0.81
3.21, 19.20, 4.49, 39.01, 0.32, 0.00, -0.09
3.23, 19.31, 4.48, 38.98, 0.29, 0.00, -0.25
3.25, 19.34, 4.62, 39.00, 0.27, 0.00, -0.26
3.27, 19.24, 4.75, 39.11, 0.26, 0.00, -0.04
3.29, 19.20, 4.75, 39.33, 0.27, 0.00, 0.03
3.31, 19.22, 4.71, 39.55, 0.26, 0.00, -0.02
3.33, 19.23, 4.77, 39.59, 0.26, 0.00, -0.02
3.35, 19.23, 4.90, 39.40, 0.26, 0.00, -0.02
3.37, 19.12, 4.92, 39.11, 0.28, 0.00, 0.16
3.39, 19.09, 4.79, 38.91, 0.30, 0.00, 0.18
3.41, 19.16, 4.64, 38.89, 0.30, 0.00, 0.05
3.43, 19.24, 4.67, 38.96, 0.29, 0.00, -0.10
3.45, 19.23, 4.88, 39.04, 0.28, 0.00, -0.07
3.47, 19.05, 5.06, 39.13, 0.31, 0.00, 0.25
3.49, 18.96, 5.06, 39.27, 0.34, 0.00, 0.34
3.51, 18.97, 4.98, 39.40, 0.37, 0.00, 0.28
3.53, 18.97, 5.00, 39.39, 0.39, 0.00, 0.23
3.55, 18.97, 5.14, 39.18, 0.39, 0.00, 0.23
3.57, 18.85, 5.19, 38.89, 0.43, 0.00, 0.40
3.59, 18.77, 5.06, 38.70, 0.48, 0.00, 0.45
3.61, 18.81, 4.89, 38.67, 0.51, 0.00, 0.32
3.63, 18.88, 4.87, 38.70, 0.53, 0.00, 0.15
3.65, 18.88, 5.01, 38.70, 0.54, 0.00, 0.13
3.67, 18.73, 5.13, 38.69, 0.57, 0.00, 0.35
3.69, 18.67, 5.11, 38.76, 0.61, 0.00, 0.40
3.71, 20.73, 5.03, 38.88, 0.57, 0.00, -0.47
3.73, 20.80, 5.05, 38.93, 0.52, 0.00, -0.51
3.75, 20.80, 5.16, 38.81, 0.52, 0.00, -0.51
3.77, 20.77, 5.22, 38.57, 0.48, 0.00, -0.37
3.79, 20.77, 5.15, 38.36, 0.45, 0.00, -0.31
3.81, 20.84, 5.10, 38.30, 0.41, 0.00, -0.38
3.83, 20.91, 5.21, 38.38, 0.37, 0.00, -0.43
3.85, 20.88, 5.44, 38.51, 0.34, 0.00, -0.32
3.87, 20.72, 5.59, 38.63, 0.34, 0.00, 0.00
3.89, 20.68, 5.59, 38.72, 0.34, 0.00, 0.08
3.91, 20.69, 5.57, 38.73, 0.35, 0.00, 0.05
3.93, 20.67, 5.66, 38.62, 0.35, 0.00, 0.07
3.95, 20.67, 5.80, 38.41, 0.35, 0.00, 0.07
3.97, 20.55, 5.82, 38.18, 0.38, 0.00, 0.27
3.99, 20.50, 5.68, 38.03, 0.41, 0.00, 0.29
4.01, 20.56, 5.52, 37.99, 0.43, 0.00, 0.15
4.02, 20.64, 5.51, 37.99, 0.42, 0.00, -0.01
4.04, 20.64, 5.65, 37.93, 0.42, 0.00, -0.02
4.06, 20.52, 5.78, 37.83, 0.44, 0.00, 0.20
4.09, 20.46, 5.76, 37.78, 0.47, 0.00, 0.26
4.10, 20.47, 5.69, 37.87, 0.49, 0.00, 0.20
4.12, 20.48, 5.70, 38.01, 0.50, 0.00, 0.15
4.14, 20.48, 5.80, 38.03, 0.50, 0.00, 0.15
4.16, 20.39, 5.86, 37.92, 0.53, 0.00, 0.27
4.18, 20.33, 5.80, 37.79, 0.56, 0.00, 0.33
4.20, 20.33, 5.75, 37.74, 0.59, 0.00, 0.27
4.22, 20.33, 5.85, 37.74, 0.61, 0.00, 0.22
4.24, 20.25, 6.05, 37.70, 0.65, 0.00, 0.32
4.26, 22.11, 6.15, 37.62, 0.63, 0.00, -0.20
4.28, 22.12, 6.09, 37.61, 0.61, 0.00, -0.18
4.30, 22.21, 5.99, 37.73, 0.58, 0.00, -0.29
4.32, 22.27, 6.01, 37.85, 0.55, 0.00, -0.34
4.34, 22.27, 6.13, 37.82, 0.55, 0.00, -0.34
4.36, 22.21, 6.16, 37.62, 0.53, 0.00, -0.19
4.38, 22.21, 6.03, 37.40, 0.51, 0.00, -0.16
4.40, 22.31, 5.89, 37.32, 0.48, 0.00, -0.29
4.42, 22.42, 5.91, 37.35, 0.44, 0.00, -0.43
4.44, 22.45, 6.08, 37.38, 0.40, 0.00, -0.41
4.46, 22.34, 6.22, 37.31, 0.38, 0.00, -0.15
4.48, 22.31, 6.23, 37.19, 0.37, 0.00, -0.08
4.50, 22.33, 6.20, 37.11, 0.36, 0.00, -0.11
4.52, 22.34, 6.25, 37.14, 0.35, 0.00, -0.11
4.54, 22.34, 6.37, 37.21, 0.35, 0.00, -0.11
4.56, 22.26, 6.42, 37.23, 0.36, 0.00, 0.05
4.58, 22.22, 6.39, 37.18, 0.37, 0.00, 0.10
4.60, 22.23, 6.41, 37.11, 0.37, 0.00, 0.07
4.62, 22.21, 6.55, 37.04, 0.38, 0.00, 0.09
4.64, 22.12, 6.73, 36.96, 0.41, 0.00, 0.23
4.66, 21.95, 6.82, 36.88, 0.45, 0.00, 0.47
4.68, 21.89, 6.79, 36.84, 0.50, 0.00, 0.49
4.70, 21.87, 6.77, 36.89, 0.55, 0.00, 0.45
4.72, 21.80, 6.85, 37.01, 0.59, 0.00, 0.48
4.74, 21.80, 6.93, 37.08, 0.59, 0.00, 0.48
4.76, 21.68, 6.87, 37.07, 0.66, 0.00, 0.61
4.78, 23.71, 6.65, 36.99, 0.63, 0.00, -0.24
4.80, 23.86, 6.44, 36.91, 0.59, 0.00, -0.46
4.82, 24.04, 6.41, 36.84, 0.52, 0.00, -0.67
4.84, 24.12, 6.53, 36.76, 0.45, 0.00, -0.70
4.86, 24.08, 6.64, 36.67, 0.40, 0.00, -0.52
4.88, 24.09, 6.66, 36.60, 0.35, 0.00, -0.45
4.90, 24.13, 6.71, 36.60, 0.31, 0.00, -0.43
4.92, 24.11, 6.88, 36.67, 0.28, 0.00, -0.33
4.94, 24.11, 7.05, 36.75, 0.28, 0.00, -0.33
4.96, 23.98, 7.06, 36.78, 0.27, 0.00, -0.06
4.98, 23.98, 6.92, 36.73, 0.27, 0.00, -0.05
5.00, 24.07, 6.84, 36.61, 0.25, 0.00, -0.19
5.02, 24.14, 6.96, 36.46, 0.22, 0.00, -0.27
5.04, 24.09, 7.17, 36.36, 0.20, 0.00, -0.15
5.06, 23.94, 7.26, 36.30, 0.22, 0.00, 0.12
5.08, 23.92, 7.23, 36.27, 0.23, 0.00, 0.14
5.10, 23.93, 7.22, 36.27, 0.24, 0.00, 0.10
5.12, 23.88, 7.34, 36.31, 0.26, 0.00, 0.16
5.14, 23.88, 7.47, 36.39, 0.26, 0.00, 0.16
5.16, 23.75, 7.43, 36.43, 0.29, 0.00, 0.36
5.18, 23.73, 7.25, 36.39, 0.33, 0.00, 0.32
5.20, 23.81, 7.14, 36.29, 0.34, 0.00, 0.14
5.22, 23.86, 7.22, 36.17, 0.34, 0.00, 0.03
5.24, 23.81, 7.40, 36.09, 0.35, 0.00, 0.11
5.26, 23.66, 7.47, 36.04, 0.39, 0.00, 0.35
5.28, 23.63, 7.38, 36.02, 0.42, 0.00, 0.33
5.30, 25.69, 7.31, 36.05, 0.36, 0.00, -0.56
5.32, 25.75, 7.38, 36.12, 0.31, 0.00, -0.56
5.34, 25.75, 7.50, 36.17, 0.31, 0.00, -0.56
5.36, 25.70, 7.50, 36.22, 0.27, 0.00, -0.39
5.38, 25.74, 7.36, 36.21, 0.23, 0.00, -0.39
5.40, 25.87, 7.27, 36.14, 0.18, 0.00, -0.53
5.42, 25.97, 7.39, 36.02, 0.12, 0.00, -0.62
5.44, 25.96, 7.61, 35.91, 0.07, 0.00, -0.50
