# time (s), duty, act pres, tank pres, d4, d5, pres err
0.01, 0.00, 0.00, 60.75, 0.00, 0.00, 0.00
0.03, 0.00, 0.00, 60.75, 0.00, 0.00, 0.00
0.05, 0.00, 0.01, 60.75, 0.00, 0.00, 0.00
0.07, 0.00, 0.02, 60.74, 0.00, 0.00, 0.01
0.09, 0.00, 0.03, 60.74, 0.00, 0.00, 0.02
0.11, 0.00, 0.04, 60.73, 0.00, 0.00, 0.03
0.13, 0.00, 0.03, 60.73, 0.00, 0.00, 0.04
0.15, 0.00, 0.02, 60.73, 0.00, 0.00, 0.03
0.17, 0.00, 0.01, 60.73, 0.00, 0.00, 0.01
0.19, 0.00, 0.00, 60.73, 0.00, 0.00, 0.00
0.21, 0.00, 0.00, 60.73, 0.00, 0.00, 0.00
0.23, 0.00, 0.00, 60.74, 0.00, 0.00, 0.00
0.25, 0.00, 0.00, 60.74, 0.00, 0.00, 0.00
0.27, 0.00, 0.00, 60.75, 0.00, 0.00, 0.00
0.29, 0.00, 0.00, 60.76, 0.00, 0.00, 0.00
0.31, 0.00, 0.00, 60.77, 0.00, 0.00, 0.00
0.33, 0.00, 0.00, 60.77, 0.00, 0.00, 0.00
0.35, 0.00, 0.00, 60.78, 0.00, 0.00, 0.00
0.37, 0.00, 0.00, 60.78, 0.00, 0.00, 0.00
0.39, 0.00, 0.00, 60.78, 0.00, 0.00, 0.00
0.41, 0.00, 0.00, 60.79, 0.00, 0.00, 0.00
0.43, 0.00, 0.00, 60.79, 0.00, 0.00, 0.00
0.45, 0.00, 0.00, 60.79, 0.00, 0.00, 0.00
0.47, 0.00, 0.00, 60.79, 0.00, 0.00, 0.00
0.49, 0.00, 0.00, 60.80, 0.00, 0.00, 0.00
0.51, 0.00, 0.00, 60.80, 0.00, 0.00, 0.00
0.53, 0.00, 0.00, 60.80, 0.00, 0.00, 0.00
0.55, 0.00, 0.00, 60.80, 0.00, 0.00, 0.00
0.57, 14.60, 0.00, 60.79, 0.00, 0.00, -1.84
0.59, 14.60, 0.01, 60.79, 0.00, 0.00, -1.83
0.61, 14.59, 0.02, 60.77, 0.00, 0.00, -1.82
0.63, 14.59, 0.04, 60.72, 0.00, 0.00, -1.81
0.65, 14.59, 0.04, 60.58, 0.00, 0.00, -1.81
0.67, 14.58, 0.04, 60.42, 0.00, 0.00, -1.80
0.69, 14.58, 0.09, 60.30, 0.00, 0.00, -1.79
0.71, 14.55, 0.23, 60.28, 0.00, 0.00, -1.75
0.73, 14.48, 0.51, 60.27, 0.00, 0.00, -1.61
0.75, 14.48, 0.87, 60.25, -0.13, 0.00, -1.33
0.76, 14.29, 1.21, 60.22, -0.21, 0.00, -0.80
0.78, 14.17, 1.55, 60.18, -0.26, 0.00, -0.47
0.80, 13.99, 1.99, 60.05, -0.27, 0.00, -0.09
0.82, 13.70, 2.51, 59.78, -0.23, 0.00, 0.42
0.84, 13.70, 2.84, 59.51, -0.23, 0.00, 0.42
0.86, 13.30, 2.78, 59.39, -0.13, 0.00, 1.00
0.88, 13.24, 2.44, 59.41, -0.03, 0.00, 0.94
0.90, 13.35, 2.19, 59.48, 0.03, 0.00, 0.60
0.92, 13.44, 2.23, 59.51, 0.06, 0.00, 0.35
0.94, 13.38, 2.47, 59.46, 0.10, 0.00, 0.39
0.96, 13.14, 2.63, 59.33, 0.17, 0.00, 0.73
0.98, 13.03, 2.58, 59.16, 0.25, 0.00, 0.79
1.00, 13.02, 2.46, 59.03, 0.32, 0.00, 0.68
1.02, 13.01, 2.44, 58.99, 0.38, 0.00, 0.59
1.04, 13.01, 2.53, 59.04, 0.38, 0.00, 0.59
1.06, 12.89, 2.61, 59.10, 0.45, 0.00, 0.69
1.08, 12.77, 2.61, 59.07, 0.53, 0.00, 0.77
1.10, 17.48, 2.63, 58.93, 0.42, 0.00, -1.07
1.12, 17.57, 2.81, 58.76, 0.32, 0.00, -1.05
1.14, 17.57, 3.09, 58.65, 0.23, 0.00, -0.87
1.16, 17.42, 3.27, 58.68, 0.18, 0.00, -0.47
1.18, 17.41, 3.28, 58.91, 0.14, 0.00, -0.38
1.20, 17.47, 3.27, 59.26, 0.10, 0.00, -0.42
1.22, 17.48, 3.41, 59.54, 0.06, 0.00, -0.37
1.24, 17.48, 3.65, 59.58, 0.06, 0.00, -0.37
1.26, 17.31, 3.79, 59.40, 0.06, 0.00, -0.03
1.28, 17.23, 3.73, 59.21, 0.07, 0.00, 0.11
1.30, 17.26, 3.67, 59.20, 0.08, 0.00, 0.05
1.32, 17.29, 3.80, 59.28, 0.08, 0.00, -0.01
1.34, 17.21, 4.09, 59.24, 0.09, 0.00, 0.12
1.36, 16.93, 4.35, 59.03, 0.14, 0.00, 0.56
1.38, 16.77, 4.47, 58.82, 0.22, 0.00, 0.75
1.40, 16.65, 4.53, 58.80, 0.30, 0.00, 0.81
1.42, 16.52, 4.68, 58.91, 0.39, 0.00, 0.91
1.44, 16.52, 4.87, 58.96, 0.39, 0.00, 0.91
1.46, 16.25, 4.95, 58.88, 0.51, 0.00, 1.19
1.48, 16.09, 4.87, 58.80, 0.64, 0.00, 1.27
1.50, 16.01, 4.80, 58.86, 0.76, 0.00, 1.19
1.52, 15.93, 4.92, 58.98, 0.87, 0.00, 1.12
1.54, 15.75, 5.19, 58.95, 0.99, 0.00, 1.24
1.56, 15.38, 5.41, 58.69, 1.16, 0.00, 1.64
1.58, 15.15, 5.44, 58.36, 1.33, 0.00, 1.76
1.60, 19.80, 5.39, 58.16, 1.32, 0.00, -0.12
1.62, 19.82, 5.45, 58.13, 1.31, 0.00, -0.13
1.64, 19.82, 5.61, 58.15, 1.31, 0.00, -0.13
1.66, 19.70, 5.68, 58.09, 1.31, 0.00, 0.08
1.68, 19.65, 5.59, 57.95, 1.33, 0.00, 0.15
1.70, 19.70, 5.50, 57.81, 1.34, 0.00, 0.06
1.72, 19.74, 5.62, 57.70, 1.33, 0.00, -0.03
1.74, 19.67, 5.91, 57.56, 1.34, 0.00, 0.09
1.76, 19.41, 6.14, 57.34, 1.40, 0.00, 0.52
1.78, 19.27, 6.18, 57.15, 1.46, 0.00, 0.65
1.80, 19.21, 6.19, 57.11, 1.52, 0.00, 0.65
1.82, 19.10, 6.35, 57.26, 1.60, 0.00, 0.72
1.84, 19.10, 6.60, 57.48, 1.60, 0.00, 0.72
1.86, 18.82, 6.74, 57.69, 1.70, 0.00, 1.07
1.88, 18.63, 6.72, 57.89, 1.82, 0.00, 1.21
1.90, 18.52, 6.71, 58.02, 1.94, 0.00, 1.19
1.92, 18.41, 6.89, 57.96, 2.06, 0.00, 1.18
1.94, 18.18, 7.17, 57.61, 2.20, 0.00, 1.36
1.96, 17.81, 7.35, 57.10, 2.37, 0.00, 1.76
1.98, 17.59, 7.35, 56.72, 2.56, 0.00, 1.83
2.00, 17.42, 7.34, 56.66, 2.74, 0.00, 1.80
2.02, 17.21, 7.46, 56.87, 2.92, 0.00, 1.85
2.04, 17.21, 7.63, 57.14, 2.92, 0.00, 1.85
2.06, 16.88, 7.65, 57.30, 3.13, 0.00, 2.10
2.08, 16.66, 7.47, 57.38, 3.34, 0.00, 2.12
2.10, 16.55, 7.29, 57.49, 3.54, 0.00, 1.94
2.12, 16.47, 7.28, 57.61, 3.71, 0.00, 1.76
2.14, 16.30, 7.44, 57.58, 3.89, 0.00, 1.75
2.16, 20.76, 7.57, 57.36, 3.90, 0.00, 0.16
2.18, 20.72, 7.52, 57.10, 3.92, 0.00, 0.20
2.20, 20.77, 7.40, 56.97, 3.93, 0.00, 0.09
2.22, 20.80, 7.42, 56.94, 3.93, 0.00, 0.01
2.24, 20.80, 7.58, 56.87, 3.93, 0.00, 0.01
