# time (s), duty, act pres, tank pres, d4, d5, pres err
0.01, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.03, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.05, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.07, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.09, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.11, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.13, 0.00, 0.00, 42.99, 0.00, 0.00, 0.00
0.15, 0.00, 0.00, 42.99, 0.00, 0.00, 0.00
0.17, 0.00, 0.00, 42.99, 0.00, 0.00, 0.00
0.19, 0.00, 0.00, 42.99, 0.00, 0.00, 0.00
0.21, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.23, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.25, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.27, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.29, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.31, 0.00, 0.00, 43.01, 0.00, 0.00, 0.00
0.33, 0.00, 0.00, 43.01, 0.00, 0.00, 0.00
0.35, 0.00, 0.00, 43.01, 0.00, 0.00, 0.00
0.37, 0.00, 0.00, 43.01, 0.00, 0.00, 0.00
0.39, 0.00, 0.00, 43.01, 0.00, 0.00, 0.00
0.41, 0.00, 0.00, 43.01, 0.00, 0.00, 0.00
0.43, 0.00, 0.00, 43.01, 0.00, 0.00, 0.00
0.45, 0.00, 0.00, 43.01, 0.00, 0.00, 0.00
0.47, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.49, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.51, 0.00, 0.00, 42.99, 0.00, 0.00, 0.00
0.53, 0.00, 0.00, 42.99, 0.00, 0.00, 0.00
0.55, 0.00, 0.00, 43.00, 0.00, 0.00, 0.00
0.57, 10.65, 0.00, 43.00, 0.00, 0.00, -0.26
0.59, 10.65, 0.00, 43.01, 0.00, 0.00, -0.26
0.61, 10.65, 0.00, 43.01, 0.00, 0.00, -0.26
0.63, 10.65, 0.00, 43.03, 0.00, 0.00, -0.26
0.65, 10.65, 0.01, 43.10, 0.00, 0.00, -0.26
0.67, 10.65, 0.03, 43.26, 0.00, 0.00, -0.26
0.69, 10.63, 0.06, 43.43, 0.00, 0.00, -0.23
0.71, 10.62, 0.10, 43.46, 0.00, 0.00, -0.20
0.73, 10.60, 0.14, 43.31, 0.00, 0.00, -0.16
0.75, 10.58, 0.21, 43.13, 0.00, 0.00, -0.12
0.77, 10.54, 0.33, 43.08, 0.00, 0.00, -0.05
0.79, 10.46, 0.43, 43.15, 0.00, 0.00, 0.12
0.81, 10.42, 0.46, 43.17, 0.00, 0.00, 0.19
0.83, 10.43, 0.41, 43.03, 0.00, 0.00, 0.18
0.85, 10.46, 0.35, 42.83, 0.00, 0.00, 0.12
0.87, 10.46, 0.32, 42.76, 0.00, 0.00, 0.12
0.89, 10.49, 0.32, 42.83, 0.00, 0.00, 0.06
0.91, 10.49, 0.33, 42.89, 0.00, 0.00, 0.06
0.93, 10.49, 0.35, 42.82, 0.00, 0.00, 0.07
0.95, 10.48, 0.39, 42.66, 0.00, 0.00, 0.09
0.97, 10.45, 0.47, 42.57, 0.00, 0.00, 0.13
0.99, 10.37, 0.56, 42.65, 0.03, 0.00, 0.26
1.01, 10.30, 0.60, 42.82, 0.06, 0.00, 0.33
1.03, 10.26, 0.57, 42.94, 0.09, 0.00, 0.33
1.05, 10.26, 0.50, 42.95, 0.12, 0.00, 0.28
1.07, 10.26, 0.46, 42.92, 0.12, 0.00, 0.28
1.09, 11.09, 0.46, 42.93, 0.00, 0.00, -0.07
1.11, 11.09, 0.47, 42.92, 0.00, 0.00, -0.07
1.13, 11.09, 0.47, 42.84, 0.00, 0.00, -0.06
1.15, 11.09, 0.44, 42.76, 0.00, 0.00, -0.07
1.17, 11.10, 0.42, 42.81, 0.00, 0.00, -0.09
1.19, 11.12, 0.40, 42.97, 0.00, 0.00, -0.12
1.21, 11.12, 0.42, 43.08, 0.00, 0.00, -0.12
1.23, 11.11, 0.46, 43.01, 0.00, 0.00, -0.09
1.25, 11.08, 0.50, 42.82, 0.00, 0.00, -0.05
1.27, 11.08, 0.52, 42.68, 0.00, 0.00, -0.05
1.29, 11.06, 0.53, 42.68, -0.00, 0.00, -0.01
1.31, 11.06, 0.55, 42.70, -0.00, 0.00, 0.00
1.33, 11.05, 0.57, 42.67, 0.00, 0.00, 0.02
1.35, 11.03, 0.59, 42.68, 0.01, 0.00, 0.04
1.37, 11.02, 0.57, 42.84, 0.01, 0.00, 0.06
1.39, 11.02, 0.57, 43.12, 0.02, 0.00, 0.04
1.41, 11.02, 0.60, 43.27, 0.02, 0.00, 0.05
1.43, 10.98, 0.67, 43.16, 0.03, 0.00, 0.10
1.45, 10.92, 0.76, 42.90, 0.05, 0.00, 0.18
1.47, 10.92, 0.85, 42.70, 0.05, 0.00, 0.18
1.49, 10.82, 0.90, 42.61, 0.08, 0.00, 0.33
1.51, 10.76, 0.89, 42.54, 0.12, 0.00, 0.37
1.53, 10.73, 0.84, 42.41, 0.15, 0.00, 0.36
1.55, 10.72, 0.79, 42.26, 0.18, 0.00, 0.31
1.57, 10.72, 0.77, 42.22, 0.21, 0.00, 0.26
1.59, 10.71, 0.74, 42.34, 0.23, 0.00, 0.23
1.61, 11.38, 0.73, 42.52, 0.23, 0.00, -0.06
1.63, 11.39, 0.74, 42.61, 0.22, 0.00, -0.06
1.65, 11.38, 0.77, 42.58, 0.22, 0.00, -0.04
1.67, 11.38, 0.81, 42.53, 0.22, 0.00, -0.04
1.69, 11.35, 0.84, 42.54, 0.22, 0.00, 0.02
1.71, 11.33, 0.84, 42.55, 0.23, 0.00, 0.05
1.73, 11.33, 0.83, 42.48, 0.23, 0.00, 0.05
1.75, 11.32, 0.86, 42.33, 0.23, 0.00, 0.04
1.77, 11.30, 0.94, 42.23, 0.24, 0.00, 0.07
1.79, 11.22, 1.01, 42.25, 0.26, 0.00, 0.19
1.81, 11.18, 1.02, 42.35, 0.28, 0.00, 0.24
1.83, 11.17, 0.97, 42.40, 0.30, 0.00, 0.21
1.85, 11.17, 0.96, 42.37, 0.32, 0.00, 0.17
1.87, 11.17, 1.01, 42.31, 0.32, 0.00, 0.17
1.89, 11.13, 1.04, 42.29, 0.34, 0.00, 0.22
1.91, 11.08, 1.02, 42.26, 0.37, 0.00, 0.26
1.93, 11.07, 0.96, 42.16, 0.39, 0.00, 0.23
1.95, 11.09, 0.93, 42.02, 0.41, 0.00, 0.17
1.97, 11.09, 0.95, 41.95, 0.42, 0.00, 0.14
1.99, 11.04, 1.02, 42.03, 0.44, 0.00, 0.20
2.01, 10.98, 1.09, 42.18, 0.47, 0.00, 0.27
2.03, 10.92, 1.13, 42.29, 0.50, 0.00, 0.33
2.05, 10.87, 1.13, 42.28, 0.54, 0.00, 0.34
2.07, 10.87, 1.11, 42.21, 0.54, 0.00, 0.34
2.09, 10.85, 1.07, 42.16, 0.57, 0.00, 0.32
2.11, 10.84, 1.02, 42.09, 0.60, 0.00, 0.28
2.13, 10.85, 0.94, 41.98, 0.62, 0.00, 0.23
2.15, 10.87, 0.87, 41.86, 0.64, 0.00, 0.15
2.17, 11.57, 0.83, 41.83, 0.62, 0.00, -0.18
2.18, 11.62, 0.82, 41.89, 0.59, 0.00, -0.22
2.20, 11.64, 0.82, 41.95, 0.57, 0.00, -0.23
2.22, 11.67, 0.82, 41.91, 0.55, 0.00, -0.23
2.24, 11.69, 0.81, 41.82, 0.53, 0.00, -0.23
2.26, 11.69, 0.80, 41.79, 0.53, 0.00, -0.23
2.28, 11.72, 0.80, 41.86, 0.50, 0.00, -0.25
2.30, 11.75, 0.83, 41.93, 0.47, 0.00, -0.25
2.32, 11.76, 0.88, 41.88, 0.45, 0.00, -0.22
2.34, 11.75, 0.95, 41.76, 0.44, 0.00, -0.17
2.36, 11.73, 1.00, 41.66, 0.43, 0.00, -0.10
2.38, 11.70, 1.04, 41.66, 0.42, 0.00, -0.05
2.40, 11.68, 1.05, 41.66, 0.42, 0.00, -0.00
2.42, 11.68, 1.04, 41.61, 0.42, 0.00, -0.00
2.44, 11.69, 1.05, 41.55, 0.42, 0.00, -0.01
2.46, 11.69, 1.09, 41.58, 0.42, 0.00, -0.01
2.48, 11.66, 1.14, 41.70, 0.42, 0.00, 0.04
2.50, 11.62, 1.14, 41.83, 0.43, 0.00, 0.09
2.52, 11.61, 1.08, 41.87, 0.44, 0.00, 0.09
2.54, 11.64, 0.99, 41.84, 0.44, 0.00, 0.03
2.56, 11.69, 0.90, 41.78, 0.44, 0.00, -0.06
2.58, 11.75, 0.84, 41.78, 0.42, 0.00, -0.15
2.60, 11.81, 0.83, 41.84, 0.40, 0.00, -0.22
2.62, 11.83, 0.84, 41.88, 0.38, 0.00, -0.22
2.64, 11.84, 0.87, 41.85, 0.36, 0.00, -0.19
2.66, 11.84, 0.88, 41.82, 0.36, 0.00, -0.19
2.68, 12.55, 0.88, 41.85, 0.32, 0.00, -0.45
2.70, 12.59, 0.90, 41.91, 0.27, 0.00, -0.44
2.72, 12.62, 0.96, 41.92, 0.23, 0.00, -0.42
2.74, 12.63, 1.07, 41.85, 0.19, 0.00, -0.36
2.76, 12.59, 1.22, 41.77, 0.17, 0.00, -0.25
2.78, 12.53, 1.35, 41.69, 0.16, 0.00, -0.10
2.80, 12.44, 1.40, 41.62, 0.17, 0.00, 0.07
2.82, 12.43, 1.38, 41.51, 0.17, 0.00, 0.07
2.84, 12.43, 1.39, 41.35, 0.18, 0.00, 0.06
2.86, 12.43, 1.46, 41.20, 0.18, 0.00, 0.06
2.88, 12.38, 1.52, 41.16, 0.19, 0.00, 0.14
2.90, 12.33, 1.48, 41.20, 0.21, 0.00, 0.20
2.92, 12.33, 1.34, 41.23, 0.23, 0.00, 0.16
2.94, 12.40, 1.21, 41.17, 0.23, 0.00, 0.02
2.96, 12.47, 1.14, 41.10, 0.22, 0.00, -0.11
2.98, 12.53, 1.12, 41.09, 0.20, 0.00, -0.18
3.00, 12.56, 1.12, 41.15, 0.18, 0.00, -0.20
3.02, 12.58, 1.13, 41.19, 0.16, 0.00, -0.20
3.04, 12.59, 1.14, 41.14, 0.14, 0.00, -0.19
3.06, 12.59, 1.16, 41.02, 0.14, 0.00, -0.19
3.08, 12.59, 1.18, 40.96, 0.13, 0.00, -0.16
3.10, 12.60, 1.20, 40.99, 0.11, 0.00, -0.14
3.12, 12.60, 1.23, 41.08, 0.10, 0.00, -0.12
3.14, 12.59, 1.34, 41.17, 0.09, 0.00, -0.09
3.16, 12.54, 1.50, 41.26, 0.09, 0.00, 0.02
3.18, 12.39, 1.64, 41.34, 0.12, 0.00, 0.26
3.20, 12.99, 1.67, 41.35, 0.13, 0.00, 0.09
3.22, 12.99, 1.62, 41.25, 0.14, 0.00, 0.06
3.24, 13.01, 1.61, 41.06, 0.14, 0.00, 0.02
3.26, 13.01, 1.69, 40.87, 0.14, 0.00, 0.02
3.28, 12.96, 1.73, 40.77, 0.15, 0.00, 0.10
3.30, 12.92, 1.67, 40.78, 0.16, 0.00, 0.15
3.32, 12.94, 1.53, 40.83, 0.17, 0.00, 0.09
3.34, 13.02, 1.45, 40.86, 0.17, 0.00, -0.05
3.36, 13.07, 1.45, 40.85, 0.15, 0.00, -0.14
3.38, 13.08, 1.51, 40.84, 0.14, 0.00, -0.13
