# time (s), duty, act pres, tank pres, d4, d5, pres err
0.01, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.03, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.05, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.07, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.09, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.11, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.13, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.15, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.17, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.19, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.21, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.23, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.25, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.27, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.29, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.31, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.33, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.35, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.37, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.39, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.41, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.43, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.45, 0.00, 0.01, 66.80, 0.00, 0.00, 0.00
0.47, 0.00, 0.03, 66.80, 0.00, 0.00, 0.00
0.49, 0.00, 0.04, 66.80, 0.00, 0.00, 0.03
0.51, 0.00, 0.05, 66.80, 0.00, 0.00, 0.04
0.53, 0.00, 0.04, 66.80, 0.00, 0.00, 0.05
0.55, 0.00, 0.03, 66.80, 0.00, 0.00, 0.04
0.57, 15.91, 0.01, 66.80, 0.00, 0.00, -2.35
0.59, 15.92, 0.00, 66.80, 0.00, 0.00, -2.37
0.61, 15.92, 0.01, 66.80, 0.00, 0.13, -2.37
0.63, 15.90, 0.09, 66.80, 0.00, 0.89, -2.33
0.65, 15.85, 0.25, 66.80, 0.00, 3.10, -2.21
0.67, 15.85, 0.47, 66.80, 0.00, 6.96, -2.21
0.69, 15.69, 0.62, 66.80, 0.00, 11.37, -1.90
0.71, 15.79, 0.65, 66.80, -0.17, 14.57, -1.75
0.73, 15.95, 0.65, 66.80, -0.35, 15.82, -1.72
0.75, 16.12, 0.79, 66.80, -0.52, 15.87, -1.72
0.77, 16.21, 1.08, 66.80, -0.68, 15.69, -1.58
0.79, 16.10, 1.35, 66.80, -0.79, 15.29, -1.14
0.81, 16.10, 1.47, 66.80, -0.89, 14.13, -0.94
0.83, 16.15, 1.54, 66.80, -0.97, 12.37, -0.87
0.85, 16.16, 1.73, 66.80, -1.05, 11.04, -0.75
0.87, 16.16, 1.99, 66.80, -1.05, 10.79, -0.75
0.89, 16.01, 2.14, 66.80, -1.09, 11.18, -0.38
0.91, 15.96, 2.09, 66.80, -1.11, 11.46, -0.23
0.93, 16.02, 2.01, 66.80, -1.14, 11.44, -0.28
0.95, 16.09, 2.14, 66.80, -1.17, 11.44, -0.36
0.97, 16.05, 2.51, 66.80, -1.20, 11.50, -0.23
0.99, 15.73, 2.90, 66.80, -1.16, 11.32, 0.34
1.01, 15.50, 3.15, 66.80, -1.09, 10.62, 0.67
1.03, 15.32, 3.30, 66.80, -1.01, 9.62, 0.85
1.05, 15.14, 3.50, 66.80, -0.91, 8.80, 1.02
1.07, 15.14, 3.74, 66.80, -0.91, 8.21, 1.02
1.09, 20.99, 3.84, 66.80, -1.01, 7.25, -1.00
1.11, 21.03, 3.73, 66.80, -1.10, 5.46, -0.90
1.13, 21.19, 3.58, 66.80, -1.20, 3.30, -1.01
1.15, 21.37, 3.63, 66.80, -1.31, 1.76, -1.16
1.17, 21.46, 3.93, 66.80, -1.43, 1.34, -1.10
1.19, 21.27, 4.33, 66.80, -1.49, 1.63, -0.61
1.21, 21.09, 4.74, 66.80, -1.51, 1.91, -0.20
1.23, 20.86, 5.16, 66.80, -1.49, 1.83, 0.20
1.25, 20.58, 5.62, 66.80, -1.42, 1.49, 0.65
1.27, 20.58, 6.00, 66.80, -1.42, 1.07, 0.65
1.29, 20.15, 6.15, 66.80, -1.29, 0.70, 1.26
1.31, 19.93, 6.12, 66.80, -1.15, 0.42, 1.41
1.33, 19.81, 6.16, 66.80, -1.02, 0.23, 1.38
1.35, 19.64, 6.49, 66.80, -0.88, 0.11, 1.42
1.37, 19.31, 7.00, 66.80, -0.70, 0.05, 1.75
1.39, 18.68, 7.41, 66.80, -0.45, 0.05, 2.50
1.41, 18.26, 7.57, 66.80, -0.17, 0.10, 2.78
1.43, 17.94, 7.63, 66.80, 0.11, 0.17, 2.85
1.45, 17.58, 7.85, 66.80, 0.41, 0.20, 2.98
1.47, 17.58, 8.16, 66.80, 0.41, 0.17, 2.98
1.49, 17.01, 8.31, 66.80, 0.75, 0.10, 3.42
1.51, 16.58, 8.20, 66.80, 1.11, 0.03, 3.57
1.53, 16.30, 8.05, 66.80, 1.46, 0.01, 3.46
1.55, 16.04, 8.16, 66.80, 1.79, 0.00, 3.31
1.57, 15.64, 8.51, 66.80, 2.13, 0.00, 3.42
1.59, 14.99, 8.79, 66.80, 2.52, 0.00, 3.94
1.61, 20.67, 8.78, 66.79, 2.69, 0.00, 1.71
1.63, 20.57, 8.63, 66.77, 2.85, 0.00, 1.59
1.65, 20.47, 8.66, 66.75, 3.00, 0.00, 1.50
1.67, 20.47, 8.88, 66.74, 3.00, 0.00, 1.50
1.69, 20.16, 9.03, 66.75, 3.18, 0.00, 1.77
1.71, 19.89, 8.98, 66.77, 3.37, 0.00, 1.92
1.73, 19.73, 8.92, 66.79, 3.56, 0.00, 1.87
1.75, 19.57, 9.12, 66.80, 3.74, 0.00, 1.81
1.77, 19.27, 9.52, 66.80, 3.94, 0.00, 2.01
1.79, 18.72, 9.83, 66.80, 4.20, 0.00, 2.60
1.81, 18.36, 9.87, 66.80, 4.48, 0.00, 2.77
1.83, 18.11, 9.82, 66.80, 4.75, 0.00, 2.73
1.85, 17.83, 9.93, 66.80, 5.02, 0.00, 2.74
1.86, 17.83, 10.18, 66.80, 5.02, 0.00, 2.74
1.88, 17.36, 10.30, 66.80, 5.33, 0.00, 3.07
1.90, 16.97, 10.21, 66.80, 5.65, 0.00, 3.19
1.92, 16.71, 10.11, 66.80, 5.96, 0.00, 3.10
1.94, 16.46, 10.23, 66.80, 6.26, 0.00, 3.00
1.96, 16.09, 10.52, 66.80, 6.57, 0.00, 3.12
1.98, 15.53, 10.71, 66.80, 6.93, 0.00, 3.53
2.00, 15.14, 10.65, 66.79, 7.29, 0.00, 3.59
2.02, 14.85, 10.53, 66.76, 7.63, 0.00, 3.47
2.04, 14.54, 10.58, 66.72, 7.97, 0.00, 3.42
2.06, 14.54, 10.75, 66.70, 7.97, 0.00, 3.42
2.08, 14.06, 10.75, 66.70, 8.34, 0.00, 3.64
2.10, 13.70, 10.44, 66.71, 8.70, 0.00, 3.64
2.12, 13.52, 10.00, 66.67, 9.04, 0.00, 3.33
2.14, 13.45, 9.76, 66.58, 9.32, 0.00, 2.89
2.16, 19.44, 9.80, 66.51, 9.35, 0.00, 0.29
2.18, 19.35, 9.93, 66.52, 9.39, 0.00, 0.40
2.20, 19.25, 9.97, 66.61, 9.44, 0.00, 0.49
2.22, 19.21, 9.94, 66.70, 9.49, 0.00, 0.48
2.24, 19.15, 10.02, 66.71, 9.54, 0.00, 0.49
2.26, 19.15, 10.19, 66.63, 9.54, 0.00, 0.49
2.28, 18.97, 10.27, 66.53, 9.61, 0.00, 0.72
2.30, 18.85, 10.19, 66.48, 9.69, 0.00, 0.80
2.32, 18.82, 10.11, 66.51, 9.76, 0.00, 0.72
2.34, 18.79, 10.25, 66.56, 9.83, 0.00, 0.64
2.36, 18.64, 10.58, 66.61, 9.91, 0.00, 0.78
2.38, 18.27, 10.85, 66.61, 10.03, 0.00, 1.27
2.40, 18.05, 10.89, 66.58, 10.18, 0.00, 1.43
2.42, 17.93, 10.85, 66.54, 10.31, 0.00, 1.40
2.44, 17.79, 10.94, 66.52, 10.46, 0.00, 1.40
2.46, 17.79, 11.15, 66.55, 10.46, 0.00, 1.40
2.48, 17.48, 11.23, 66.59, 10.62, 0.00, 1.68
2.50, 17.26, 11.06, 66.57, 10.80, 0.00, 1.76
2.52, 17.18, 10.85, 66.46, 10.96, 0.00, 1.59
2.54, 17.16, 10.85, 66.33, 11.10, 0.00, 1.38
