# time (s), duty, act pres, tank pres, d4, d5, pres err
0.02, 0.00, 0.00, 44.44, 0.00, 0.00, 0.00
0.04, 0.00, 0.00, 44.44, 0.00, 0.00, 0.00
0.06, 0.00, 0.00, 44.43, 0.00, 0.00, 0.00
0.08, 0.00, 0.00, 44.42, 0.00, 0.00, 0.00
0.10, 0.00, 0.00, 44.42, 0.00, 0.00, 0.00
0.12, 0.00, 0.00, 44.43, 0.00, 0.00, 0.00
0.14, 0.00, 0.00, 44.44, 0.00, 0.00, 0.00
0.16, 0.00, 0.00, 44.45, 0.00, 0.00, 0.00
0.18, 0.00, 0.00, 44.44, 0.00, 0.00, 0.00
0.20, 0.00, 0.00, 44.44, 0.00, 0.00, 0.00
0.22, 0.00, 0.00, 44.44, 0.00, 0.00, 0.00
0.24, 0.00, 0.00, 44.44, 0.00, 0.00, 0.00
0.26, 0.00, 0.00, 44.44, 0.00, 0.00, 0.00
0.28, 0.00, 0.00, 44.45, 0.00, 0.00, 0.00
0.30, 0.00, 0.00, 44.46, 0.00, 0.00, 0.00
0.32, 0.00, 0.00, 44.46, 0.00, 0.00, 0.00
0.34, 0.00, 0.00, 44.47, 0.00, 0.00, 0.00
0.36, 0.00, 0.00, 44.47, 0.00, 0.00, 0.00
0.37, 0.00, 0.00, 44.48, 0.00, 0.00, 0.00
0.39, 0.00, 0.00, 44.48, 0.00, 0.00, 0.00
0.41, 0.00, 0.00, 44.48, 0.00, 0.00, 0.00
0.43, 0.00, 0.00, 44.48, 0.00, 0.00, 0.00
0.45, 0.00, 0.00, 44.48, 0.00, 0.00, 0.00
0.47, 0.00, 0.00, 44.48, 0.00, 0.00, 0.00
0.49, 0.00, 0.00, 44.48, 0.00, 0.00, 0.00
0.51, 0.00, 0.00, 44.49, 0.00, 0.00, 0.00
0.53, 0.00, 0.00, 44.50, 0.00, 0.00, 0.00
0.55, 0.00, 0.00, 44.50, 0.00, 0.00, 0.00
0.57, 12.62, 0.00, 44.49, 0.00, 0.00, -1.05
0.59, 12.62, 0.00, 44.49, 0.00, 0.00, -1.05
0.61, 12.62, 0.00, 44.48, 0.00, 0.00, -1.05
0.63, 12.62, 0.00, 44.47, 0.00, 0.00, -1.05
0.65, 12.62, 0.02, 44.45, 0.00, 0.00, -1.04
0.67, 12.60, 0.10, 44.45, 0.00, 0.00, -1.00
0.69, 12.54, 0.24, 44.48, 0.00, 0.00, -0.89
0.71, 12.54, 0.42, 44.48, 0.00, 0.00, -0.89
0.73, 12.42, 0.53, 44.40, 0.00, 0.00, -0.63
0.75, 12.41, 0.52, 44.27, -0.05, 0.00, -0.52
0.77, 12.47, 0.45, 44.18, -0.10, 0.00, -0.53
