# time (s), duty, act pres, tank pres, d4, d5, pres err
0.01, 0.00, 0.02, 47.75, 0.00, 0.00, 0.01
0.03, 0.00, 0.03, 47.75, 0.00, 0.00, 0.02
0.05, 0.00, 0.03, 47.76, 0.00, 0.00, 0.03
0.07, 0.00, 0.02, 47.77, 0.00, 0.00, 0.03
0.09, 0.00, 0.01, 47.78, 0.00, 0.00, 0.02
0.11, 0.00, 0.00, 47.78, 0.00, 0.00, 0.01
0.13, 0.00, 0.00, 47.79, 0.00, 0.00, 0.00
0.15, 0.00, 0.00, 47.79, 0.00, 0.00, 0.00
0.17, 0.00, 0.00, 47.80, 0.00, 0.00, 0.00
0.19, 0.00, 0.00, 47.80, 0.00, 0.00, 0.00
0.21, 0.00, 0.00, 47.81, 0.00, 0.00, 0.00
0.23, 0.00, 0.00, 47.81, 0.00, 0.00, 0.00
0.25, 0.00, 0.00, 47.81, 0.00, 0.00, 0.00
0.27, 0.00, 0.00, 47.81, 0.00, 0.00, 0.00
0.29, 0.00, 0.00, 47.82, 0.00, 0.00, 0.00
0.31, 0.00, 0.00, 47.83, 0.00, 0.00, 0.00
0.33, 0.00, 0.00, 47.85, 0.00, 0.00, 0.00
0.35, 0.00, 0.00, 47.86, 0.00, 0.00, 0.00
0.37, 0.00, 0.00, 47.87, 0.00, 0.00, 0.00
0.38, 0.00, 0.00, 47.87, 0.00, 0.00, 0.00
0.40, 0.00, 0.00, 47.87, 0.00, 0.00, 0.00
0.42, 0.00, 0.00, 47.88, 0.00, 0.00, 0.00
0.44, 0.00, 0.00, 47.89, 0.00, 0.00, 0.00
0.46, 0.00, 0.00, 47.90, 0.00, 0.00, 0.00
0.48, 0.00, 0.00, 47.91, 0.00, 0.00, 0.00
0.50, 0.00, 0.00, 47.92, 0.00, 0.00, 0.00
0.52, 0.00, 0.00, 47.93, 0.00, 0.00, 0.00
0.54, 0.00, 0.00, 47.92, 0.00, 0.00, 0.00
0.56, 0.00, 0.00, 47.91, 0.00, 0.00, 0.00
0.58, 13.30, 0.00, 47.91, 0.00, 0.00, -1.32
0.60, 13.30, 0.00, 47.91, 0.00, 0.00, -1.32
0.62, 13.30, 0.00, 47.95, 0.00, 0.00, -1.32
0.64, 13.30, 0.01, 48.06, 0.00, 0.00, -1.32
0.66, 13.29, 0.02, 48.24, 0.00, 0.00, -1.31
0.68, 13.28, 0.06, 48.42, 0.00, 0.00, -1.29
0.70, 13.25, 0.15, 48.50, 0.00, 0.00, -1.23
0.72, 13.19, 0.32, 48.45, 0.00, 0.00, -1.09
0.74, 13.19, 0.53, 48.31, 0.00, 0.00, -1.09
0.76, 13.11, 0.67, 48.16, -0.08, 0.00, -0.79
0.78, 13.11, 0.67, 48.03, -0.14, 0.00, -0.65
0.80, 13.18, 0.60, 47.96, -0.21, 0.00, -0.65
0.82, 13.28, 0.59, 47.98, -0.28, 0.00, -0.72
0.84, 13.36, 0.67, 48.07, -0.35, 0.00, -0.73
0.86, 13.35, 0.78, 48.19, -0.41, 0.00, -0.59
0.88, 13.36, 0.81, 48.25, -0.47, 0.00, -0.52
0.90, 13.41, 0.80, 48.23, -0.52, 0.00, -0.51
0.92, 13.46, 0.86, 48.13, -0.57, 0.00, -0.50
0.94, 13.46, 1.00, 48.03, -0.57, 0.00, -0.50
0.96, 13.40, 1.12, 47.92, -0.60, 0.00, -0.32
0.98, 13.36, 1.12, 47.83, -0.62, 0.00, -0.20
1.00, 13.38, 1.04, 47.78, -0.64, 0.00, -0.20
